layer,rank1_abs_cosine_to_selected,rank1_abs_cosine_to_previous,rank3_mean_principal_cosine_to_selected,rank3_min_principal_cosine_to_selected,component1_energy,cumulative_rank3_energy
0,0.01595265418291092,nan,0.03676328435540199,0.009860849007964134,0.3136022388935089,0.6412369012832642
1,0.0273630078881979,0.04480450600385666,0.03021308220922947,0.008066698908805847,0.33122149109840393,0.657207190990448
2,0.032441146671772,0.41895997524261475,0.056696537882089615,0.040654029697179794,0.261782169342041,0.587273120880127
3,0.017996754497289658,0.24997316300868988,0.03842389956116676,0.023450344800949097,0.25418975949287415,0.6129927635192871
4,0.007541770581156015,0.39854696393013,0.03024839051067829,0.0060104867443442345,0.25424349308013916,0.6198296546936035
5,0.009102480486035347,0.5042338967323303,0.048535555601119995,0.028932198882102966,0.25878816843032837,0.6074984073638916
6,0.008858107030391693,0.3806580901145935,0.031056692823767662,0.009113768115639687,0.24511243402957916,0.5877096652984619
7,0.04184134304523468,0.18930493295192719,0.04036680608987808,0.004112669732421637,0.32954901456832886,0.6496673226356506
8,0.04592832922935486,0.5705356597900391,0.04625590145587921,0.01912352815270424,0.2914452850818634,0.6184915900230408
9,0.04608956724405289,0.6198090314865112,0.04702933505177498,0.005775613710284233,0.2644168734550476,0.586402416229248
10,0.04533480852842331,0.6159679293632507,0.04950438439846039,0.0022839652374386787,0.2742392420768738,0.5711452960968018
11,0.09788994491100311,0.4324369430541992,0.07224258035421371,0.0023071053437888622,0.3552832305431366,0.6717439293861389
12,0.13835909962654114,0.6059953570365906,0.13259769976139069,0.02878638170659542,0.328802227973938,0.6402448415756226
13,0.15204636752605438,0.6315593123435974,0.16326317191123962,0.05503576993942261,0.3225904703140259,0.6386675834655762
14,0.15732838213443756,0.7012907862663269,0.19284547865390778,0.06410126388072968,0.3224900960922241,0.6273020505905151
15,0.23824509978294373,0.6890838146209717,0.31779175996780396,0.16672460734844208,0.3390733003616333,0.6391456127166748
16,0.3595534563064575,0.6797963976860046,0.49642685055732727,0.37675419449806213,0.30966055393218994,0.6160638928413391
17,0.9999991059303284,0.3595534563064575,0.9999997615814209,0.9999991059303284,0.3885948657989502,0.6883218288421631
18,0.6997612714767456,0.6997612714767456,0.6627084612846375,0.5971782803535461,0.4255397319793701,0.7161460518836975
19,0.5171530246734619,0.6818708181381226,0.5043430328369141,0.44831225275993347,0.38925206661224365,0.7188339233398438
20,0.44941437244415283,0.8405551910400391,0.43335017561912537,0.38724273443222046,0.38537874817848206,0.7162359356880188
21,0.3837795853614807,0.8601334095001221,0.3814243972301483,0.34899666905403137,0.4001838266849518,0.7302080988883972
22,0.32777178287506104,0.8715959787368774,0.34076860547065735,0.3073701858520508,0.3885401487350464,0.7329515814781189
23,0.30027449131011963,0.9123778939247131,0.31244635581970215,0.2729869782924652,0.38899892568588257,0.738358199596405
24,0.2848210334777832,0.9275552034378052,0.29750528931617737,0.27497225999832153,0.38027358055114746,0.7334573268890381
25,0.2685175836086273,0.9462418556213379,0.27267202734947205,0.24082139134407043,0.3727864623069763,0.7357070446014404
26,0.2462184578180313,0.9307266473770142,0.23465339839458466,0.20101585984230042,0.3557879626750946,0.7449531555175781
27,0.21771013736724854,0.8899692296981812,0.21780939400196075,0.1858302354812622,0.3826146125793457,0.7407498359680176
28,0.20147329568862915,0.9065622687339783,0.19650979340076447,0.16049179434776306,0.3616431951522827,0.7291702628135681
29,0.19539862871170044,0.9212347269058228,0.18293029069900513,0.15063637495040894,0.35431405901908875,0.7247970104217529
30,0.16908924281597137,0.8892384767532349,0.1621597856283188,0.1384720653295517,0.3349441885948181,0.7040208578109741
31,0.12691062688827515,0.6350717544555664,0.1291469931602478,0.10424083471298218,0.44951847195625305,0.7362456321716309
