tokens,baseline_nll,changed_nll,nll_increase,mean_next_token_kl,top1_agreement,kind,seed,rank,layer
1016,3.0582579364926796,3.057480699434055,-0.0007772370586245358,0.0009511215245629859,0.9783464566929134,learned,-1,1,17
1016,3.0582579364926796,3.0620210902897393,0.003763153797059715,0.0013828243561617034,0.9744094488188977,learned,-1,2,17
1016,3.0582579364926796,3.064813568836122,0.006555632343442586,0.002479024994091725,0.96751968503937,learned,-1,3,17
1016,3.0582579364926796,3.0662529412217028,0.007995004729023147,0.00264009915468261,0.9625984251968503,learned,-1,4,17
1016,3.0582579364926796,3.061497485543799,0.0032395490511194502,0.0028087421665041463,0.9704724409448819,learned,-1,5,17
1016,3.0582579364926796,3.061055821696604,0.002797885203924544,0.0029946126806454395,0.969488188976378,learned,-1,6,17
1016,3.0582579364926796,3.0655660554179995,0.007308118925319906,0.003978500685353917,0.9635826771653543,learned,-1,7,17
1016,3.0582579364926796,3.065561970387857,0.007304033895177309,0.004110067378817581,0.9616141732283464,learned,-1,8,17
1016,3.0582579364926796,3.058800885057825,0.0005429485651453625,0.0005952380304261455,0.985236220472441,random,0,1,17
1016,3.0582579364926796,3.0571165310116264,-0.001141405481053237,0.0008572162253650154,0.9773622047244095,random,0,2,17
1016,3.0582579364926796,3.0580314576156495,-0.00022647887703008962,0.0010178538229991133,0.9753937007874016,random,0,3,17
1016,3.0582579364926796,3.0558959480345718,-0.0023619884581078665,0.0010868402447287491,0.9734251968503937,random,0,4,17
1016,3.0582579364926796,3.05696838859498,-0.0012895478976995278,0.001135607697362975,0.9665354330708661,random,0,5,17
1016,3.0582579364926796,3.0568236103208046,-0.001434326171875,0.0012305324941169558,0.9704724409448819,random,0,6,17
1016,3.0582579364926796,3.0581997848871185,-5.8151605561107544e-05,0.0013813080163452569,0.9734251968503937,random,0,7,17
1016,3.0582579364926796,3.0575332040861833,-0.0007247324064962868,0.0015280980059481043,0.9714566929133859,random,0,8,17
1016,3.0582579364926796,3.056507020484744,-0.0017509160079356434,0.0007513393391305067,0.9763779527559056,random,1,1,17
1016,3.0582579364926796,3.056647713728777,-0.0016102227639027689,0.0009215925856838076,0.9734251968503937,random,1,2,17
1016,3.0582579364926796,3.055717408187746,-0.002540528304933787,0.0009661665640947387,0.9803149606299213,random,1,3,17
1016,3.0582579364926796,3.0559234619140625,-0.0023344745786171295,0.001371304467907102,0.9783464566929134,random,1,4,17
1016,3.0582579364926796,3.05480308232345,-0.0034548541692296375,0.0014709111039094098,0.9773622047244095,random,1,5,17
1016,3.0582579364926796,3.055596178910864,-0.002661757581815749,0.0015501290794432633,0.9773622047244095,random,1,6,17
1016,3.0582579364926796,3.0589562363511935,0.0006982998585138844,0.001650203107379553,0.9783464566929134,random,1,7,17
1016,3.0582579364926796,3.0576678899329477,-0.0005900465597319382,0.0018826704325638419,0.9773622047244095,random,1,8,17
1016,3.0582579364926796,3.0586790550412157,0.00042111854853610353,0.0006022013606518272,0.9872047244094488,random,2,1,17
1016,3.0582579364926796,3.05721877691314,-0.0010391595795398167,0.0007301268615121917,0.9832677165354331,random,2,2,17
1016,3.0582579364926796,3.0585116889533097,0.0002537524606300856,0.000879375484046035,0.984251968503937,random,2,3,17
1016,3.0582579364926796,3.057755597933071,-0.0005023385596087948,0.0009215482635291542,0.9872047244094488,random,2,4,17
1016,3.0582579364926796,3.057909267155204,-0.00034866933747546014,0.0009882393197750482,0.9803149606299213,random,2,5,17
1016,3.0582579364926796,3.0589128629429134,0.0006549264502337948,0.0010780499676081138,0.9783464566929134,random,2,6,17
1016,3.0582579364926796,3.058586060531496,0.0003281240388162132,0.0011538111084089505,0.9763779527559056,random,2,7,17
1016,3.0582579364926796,3.0581101545198695,-0.00014778197281017924,0.0013140093857847799,0.9773622047244095,random,2,8,17
1016,3.0582579364926796,3.058626189945251,0.0003682534525712988,0.000626884342178585,0.9822834645669292,random,3,1,17
1016,3.0582579364926796,3.058694914570005,0.0004369780773254561,0.0007530048958898529,0.9793307086614174,random,3,2,17
1016,3.0582579364926796,3.057763287401575,-0.0004946490911046375,0.0008676830004519365,0.9812992125984252,random,3,3,17
1016,3.0582579364926796,3.0576317254013903,-0.0006262110912893526,0.0009444358017970258,0.9783464566929134,random,3,4,17
