component,singular_value,energy_fraction,cumulative_energy
1,0.8580323457717896,0.3885948657989502,0.3885948657989502
2,0.5592919588088989,0.16510753333568573,0.5537024140357971
3,0.5050204396247864,0.13461939990520477,0.6883218288421631
4,0.43539759516716003,0.10006029903888702,0.7883821129798889
5,0.38005155324935913,0.07623856514692307,0.8646206855773926
6,0.33295202255249023,0.0585130900144577,0.9231337904930115
7,0.30749770998954773,0.049908384680747986,0.9730421900749207
8,0.2259947955608368,0.026957934722304344,1.0000001192092896
