kind,seed,source_id,baseline_gap,ablated_gap,gap_reduction
learned,-1,resnet,6.624999963787559,5.187499749326889,1.4375002144606697
learned,-1,transformer,7.187499977525505,5.937499697904315,1.2500002796211902
random,0,resnet,6.624999963787559,6.7499998277776285,-0.12499986399006957
random,0,transformer,7.187499977525505,7.187499909906393,6.761911208741367e-08
random,1,resnet,6.624999963787559,6.6249998147391125,1.4904844647389837e-07
random,1,transformer,7.187499977525505,6.999999791812144,0.18750018571336113
random,2,resnet,6.624999963787559,6.562499994288373,0.06249996949918568
random,2,transformer,7.187499977525505,7.125000118522664,0.06249985900284116
random,3,resnet,6.624999963787559,6.624999994288373,-3.050081431865692e-08
random,3,transformer,7.187499977525505,7.062499995220634,0.12499998230487108
random,4,resnet,6.624999963787559,6.624999784933607,1.7885395209304988e-07
random,4,transformer,7.187499977525505,7.187499795629293,1.8189621187048033e-07
random,5,resnet,6.624999963787559,6.437499995583494,0.18749996820406523
random,5,transformer,7.187499977525505,7.187500093376954,-1.1585144932269031e-07
random,6,resnet,6.624999963787559,6.562499994288373,0.06249996949918568
random,6,transformer,7.187499977525505,7.187499909906393,6.761911208741367e-08
random,7,resnet,6.624999963787559,6.624999976826075,-1.30385160446167e-08
random,7,transformer,7.187499977525505,7.187500237565516,-2.6004001085766504e-07
random,8,resnet,6.624999963787559,6.562499917283276,0.06250004650428309
random,8,transformer,7.187499977525505,6.9999999060892435,0.18750007143626135
random,9,resnet,6.624999963787559,6.5000000246254785,0.12499993916208041
random,9,transformer,7.187499977525505,6.999999938685534,0.18750003883997124
random,10,resnet,6.624999963787559,6.499999995583494,0.12499996820406523
random,10,transformer,7.187499977525505,7.250000028949245,-0.06250005142373993
random,11,resnet,6.624999963787559,6.562499963787559,0.0625
random,11,transformer,7.187499977525505,7.124999788178712,0.06250018934679247
random,12,resnet,6.624999963787559,6.687500163297955,-0.06250019951039576
random,12,transformer,7.187499977525505,7.124999748407419,0.06250022911808628
random,13,resnet,6.624999963787559,6.500000069969246,0.12499989381831256
random,13,transformer,7.187499977525505,7.062500029391273,0.12499994813423143
random,14,resnet,6.624999963787559,6.624999994288373,-3.050081431865692e-08
random,14,transformer,7.187499977525505,7.062499845920712,0.12500013160479284
random,15,resnet,6.624999963787559,6.687499976826075,-0.06250001303851604
random,15,transformer,7.187499977525505,7.124999888394115,0.06250008913139027
random,16,resnet,6.624999963787559,6.5624998900889295,0.06250007369862942
random,16,transformer,7.187499977525505,7.125000085926374,0.062499891599131274
random,17,resnet,6.624999963787559,6.5625000625768735,0.06249990121068549
random,17,transformer,7.187499977525505,7.187499977525505,0.0
random,18,resnet,6.624999963787559,6.5000000246254785,0.12499993916208041
random,18,transformer,7.187499977525505,7.062499913539824,0.12500006398568075
random,19,resnet,6.624999963787559,6.624999976826075,-1.30385160446167e-08
random,19,transformer,7.187499977525505,7.187499977525505,0.0
