test_set,intervention,source,gap_reduction,aggregate_mean,positive_domains
real_test,svd_component_1,bert,0.0624999925494194,0.10937499161809683,7
real_test,svd_component_1,ddpm,0.24999994039535522,0.10937499161809683,7
real_test,svd_component_1,gcn,0.15625,0.10937499161809683,7
real_test,svd_component_1,kriging,0.0625,0.10937499161809683,7
real_test,svd_component_1,resnet,0.09375,0.10937499161809683,7
real_test,svd_component_1,transformer,-0.0625,0.10937499161809683,7
real_test,svd_component_1,unet,0.15625,0.10937499161809683,7
real_test,svd_component_1,xgboost,0.15625,0.10937499161809683,7
real_test,selected_1d_mixture,bert,0.1875,0.16796876303851604,8
real_test,selected_1d_mixture,ddpm,0.1875,0.16796876303851604,8
real_test,selected_1d_mixture,gcn,0.125,0.16796876303851604,8
real_test,selected_1d_mixture,kriging,0.2500000149011612,0.16796876303851604,8
real_test,selected_1d_mixture,resnet,0.031250014901161194,0.16796876303851604,8
real_test,selected_1d_mixture,transformer,0.1562500298023224,0.16796876303851604,8
real_test,selected_1d_mixture,unet,0.125,0.16796876303851604,8
real_test,selected_1d_mixture,xgboost,0.2812500447034836,0.16796876303851604,8
real_test,rank3_subspace,bert,0.1562500074505806,0.11718750093132257,7
real_test,rank3_subspace,ddpm,0.09375,0.11718750093132257,7
real_test,rank3_subspace,gcn,0.15625,0.11718750093132257,7
real_test,rank3_subspace,kriging,0.25,0.11718750093132257,7
real_test,rank3_subspace,resnet,1.4901161193847656e-08,0.11718750093132257,7
real_test,rank3_subspace,transformer,0.09375,0.11718750093132257,7
real_test,rank3_subspace,unet,-0.03125,0.11718750093132257,7
real_test,rank3_subspace,xgboost,0.2187499850988388,0.11718750093132257,7
synthetic,svd_component_1,anchorshift,0.031249970197677612,0.03906249441206455,5
synthetic,svd_component_1,driftgate,0.03125,0.03906249441206455,5
synthetic,svd_component_1,fluxpatch,0.0,0.03906249441206455,5
synthetic,svd_component_1,motifbridge,-0.031250014901161194,0.03906249441206455,5
synthetic,svd_component_1,phasenest,0.06249997019767761,0.03906249441206455,5
synthetic,svd_component_1,phasesar,0.09375,0.03906249441206455,5
synthetic,svd_component_1,quorumweave,0.0,0.03906249441206455,5
synthetic,svd_component_1,shardbloom,0.1250000298023224,0.03906249441206455,5
synthetic,selected_1d_mixture,anchorshift,0.12499997019767761,0.1562499962747097,8
synthetic,selected_1d_mixture,driftgate,0.0937500149011612,0.1562499962747097,8
synthetic,selected_1d_mixture,fluxpatch,0.1875,0.1562499962747097,8
synthetic,selected_1d_mixture,motifbridge,0.03124995529651642,0.1562499962747097,8
synthetic,selected_1d_mixture,phasenest,0.21875,0.1562499962747097,8
synthetic,selected_1d_mixture,phasesar,0.1875,0.1562499962747097,8
synthetic,selected_1d_mixture,quorumweave,0.15625,0.1562499962747097,8
synthetic,selected_1d_mixture,shardbloom,0.2500000298023224,0.1562499962747097,8
synthetic,rank3_subspace,anchorshift,0.1562499701976776,0.17968749348074198,8
synthetic,rank3_subspace,driftgate,0.09375002980232239,0.17968749348074198,8
synthetic,rank3_subspace,fluxpatch,0.1874999850988388,0.17968749348074198,8
synthetic,rank3_subspace,motifbridge,0.06249997019767761,0.17968749348074198,8
synthetic,rank3_subspace,phasenest,0.3437499701976776,0.17968749348074198,8
synthetic,rank3_subspace,phasesar,0.2187499925494194,0.17968749348074198,8
synthetic,rank3_subspace,quorumweave,0.15625,0.17968749348074198,8
synthetic,rank3_subspace,shardbloom,0.2187500298023224,0.17968749348074198,8
new_carriers,svd_component_1,anchorshift,0.15625,0.08593750186264515,7
new_carriers,svd_component_1,driftgate,0.06249995529651642,0.08593750186264515,7
new_carriers,svd_component_1,fluxpatch,0.125,0.08593750186264515,7
new_carriers,svd_component_1,motifbridge,0.06250002980232239,0.08593750186264515,7
new_carriers,svd_component_1,phasenest,-0.0625,0.08593750186264515,7
new_carriers,svd_component_1,phasesar,0.1562500149011612,0.08593750186264515,7
new_carriers,svd_component_1,quorumweave,0.1250000149011612,0.08593750186264515,7
new_carriers,svd_component_1,shardbloom,0.0625,0.08593750186264515,7
new_carriers,selected_1d_mixture,anchorshift,0.3437499701976776,0.234375,8
new_carriers,selected_1d_mixture,driftgate,0.2499999701976776,0.234375,8
new_carriers,selected_1d_mixture,fluxpatch,0.21875,0.234375,8
new_carriers,selected_1d_mixture,motifbridge,0.1562500298023224,0.234375,8
new_carriers,selected_1d_mixture,phasenest,0.28125,0.234375,8
new_carriers,selected_1d_mixture,phasesar,0.3125,0.234375,8
new_carriers,selected_1d_mixture,quorumweave,0.2187500298023224,0.234375,8
new_carriers,selected_1d_mixture,shardbloom,0.09375,0.234375,8
new_carriers,rank3_subspace,anchorshift,0.375,0.2382812462747097,8
new_carriers,rank3_subspace,driftgate,0.24999995529651642,0.2382812462747097,8
new_carriers,rank3_subspace,fluxpatch,0.1874999850988388,0.2382812462747097,8
new_carriers,rank3_subspace,motifbridge,0.1562500298023224,0.2382812462747097,8
new_carriers,rank3_subspace,phasenest,0.34375,0.2382812462747097,8
new_carriers,rank3_subspace,phasesar,0.2500000149011612,0.2382812462747097,8
new_carriers,rank3_subspace,quorumweave,0.2499999850988388,0.2382812462747097,8
new_carriers,rank3_subspace,shardbloom,0.09375,0.2382812462747097,8
