encoding,n_domains,mean_addition_effect,standard_error,positive_domains,exact_sign_flip_p
A/B,8,0.15625000186264515,0.01771708701901994,8,0.00390625
X/Y,8,0.17773437686264515,0.023977687185053734,8,0.00390625
1/2,8,0.18359375465661287,0.01907960044412435,8,0.00390625
