scope,tokens,baseline_nll,changed_nll,nll_increase,baseline_perplexity,changed_perplexity,mean_next_token_kl,top1_agreement,kind,seed
selected:17,4080,2.805509619619332,2.804434024586397,-0.0010755950329350839,16.535500574700457,16.51772463398574,0.0007303119363153682,0.984313725490196,learned,-1
selected:17,4080,2.805509619619332,2.8053015017041973,-0.00020811791513475342,16.535500574700457,16.532059598871918,0.0005978958717748231,0.9855392156862746,random,0
selected:17,4080,2.805509619619332,2.8051452337526808,-0.0003643858666513289,16.535500574700457,16.52947636962728,0.0005989085225497975,0.9875,random,1
selected:17,4080,2.805509619619332,2.805550818349801,4.1198730468927636e-05,16.535500574700457,16.53618183036514,0.0006027386249864802,0.9887254901960785,random,2
selected:17,4080,2.805509619619332,2.80585464776731,0.0003450281479779882,16.535500574700457,16.541206772182402,0.0005647356238435297,0.9875,random,3
selected:17,4080,2.805509619619332,2.805651137408088,0.00014151778875604037,16.535500574700457,16.53784080776616,0.0006250193890403299,0.9877450980392157,random,4
selected:17,4080,2.805509619619332,2.804529975442325,-0.0009796441770069109,16.535500574700457,16.519309599840554,0.0006842869680886175,0.9884803921568628,random,5
selected:17,4080,2.805509619619332,2.8057188146254597,0.00020919500612759379,16.535500574700457,16.538960080687573,0.0006104180552795822,0.9879901960784314,random,6
selected:17,4080,2.805509619619332,2.8050259160060507,-0.00048370361328142764,16.535500574700457,16.527504227412003,0.0006158951816021228,0.9882352941176471,random,7
selected:17,4080,2.805509619619332,2.8049371756759345,-0.0005724439433976158,16.535500574700457,16.526037636304718,0.0005735385432547214,0.9887254901960785,random,8
selected:17,4080,2.805509619619332,2.8058562035654107,0.00034658394607856025,16.535500574700457,16.541232506980496,0.0006262487275343315,0.9870098039215687,random,9
