source,baseline_gap,selected_layer_ablation_reduction,all_layer_ablation_reduction
anchorshift,0.2187499701976776,0.06249997019767761,0.031249940395355225
driftgate,0.53125,0.03125,1.4901161193847656e-08
fluxpatch,0.78125,0.03125,0.062499985098838806
motifbridge,0.2812499701976776,-7.450580596923828e-09,-0.06250002980232239
phasenest,0.9375,0.0625,0.03125
phasesar,0.6875,0.06250005960464478,0.125
quorumweave,0.65625,0.0625,0.1875
shardbloom,0.6562500298023224,0.06250002980232239,0.1250000298023224
