encoding,n_domains,mean_addition_effect,standard_error,positive_domains,exact_sign_flip_p
A/B,8,0.18554687779396772,0.021985826856895766,8,0.00390625
X/Y,8,0.2031249962747097,0.04238133395529471,8,0.00390625
1/2,8,0.23046875,0.02812964828738365,8,0.00390625
