heldout_source,seed,mean_addition_effect
transformer,9,1.4901161193847656e-08
transformer,10,1.4901161193847656e-08
transformer,11,-0.0625
transformer,12,0.0
transformer,13,0.046874985098838806
transformer,14,0.0937500149011612
transformer,15,0.03125
transformer,16,7.450580596923828e-09
transformer,17,7.450580596923828e-09
transformer,18,0.015624992549419403
transformer,19,0.046874985098838806
transformer,20,0.046875
transformer,21,0.09375
transformer,22,0.015624985098838806
transformer,23,0.140625
transformer,24,0.0468750074505806
transformer,25,-0.03125
transformer,26,0.0
transformer,27,0.140625
transformer,28,-1.1175870895385742e-08
transformer,29,2.9802322387695312e-08
transformer,30,0.015625
transformer,31,0.07812497764825821
transformer,32,0.0
transformer,33,0.03125
transformer,34,-0.015625
transformer,35,0.0
transformer,36,0.078125
transformer,37,0.078125
transformer,38,0.078125
transformer,39,-0.031249992549419403
transformer,40,-0.015625
transformer,41,7.450580596923828e-09
transformer,42,-0.015625
transformer,43,0.0781249925494194
transformer,44,0.015625
transformer,45,0.078125
transformer,46,7.450580596923828e-09
transformer,47,-0.015625
transformer,48,0.09375
transformer,49,-0.03125
transformer,50,0.0624999925494194
transformer,51,0.0
transformer,52,0.0625000074505806
transformer,53,0.015624992549419403
transformer,54,-0.015625
transformer,55,0.046875
transformer,56,0.0624999925494194
transformer,57,0.03125
transformer,58,0.0468750074505806
transformer,59,0.0
transformer,60,-0.015625
transformer,61,-0.046875014901161194
transformer,62,0.031249992549419403
transformer,63,0.078125
transformer,64,0.0625
transformer,65,0.0468750074505806
transformer,66,7.450580596923828e-09
transformer,67,0.015624992549419403
transformer,68,-0.0468749925494194
transformer,69,0.015625007450580597
transformer,70,-0.0468750037252903
transformer,71,-0.031249992549419403
transformer,72,0.031250014901161194
transformer,73,0.0781250074505806
transformer,74,0.0312500074505806
transformer,75,0.0312500074505806
transformer,76,-0.015625
transformer,77,0.046875
transformer,78,-0.015625
transformer,79,-7.450580596923828e-09
transformer,80,-0.0312500074505806
transformer,81,-0.03125
transformer,82,0.015625007450580597
transformer,83,0.0468750074505806
transformer,84,0.046875
transformer,85,0.046875014901161194
transformer,86,0.015625
transformer,87,-7.450580596923828e-09
transformer,88,-0.031249992549419403
transformer,89,0.0624999925494194
transformer,90,0.0468750074505806
transformer,91,0.046875
transformer,92,0.0625000074505806
transformer,93,0.046875
transformer,94,0.03125
transformer,95,0.031249992549419403
transformer,96,-0.04687497764825821
transformer,97,0.046875
transformer,98,0.015625007450580597
transformer,99,0.03125
unet,0,0.0468750074505806
unet,1,-0.031249992549419403
unet,2,-0.046874985098838806
unet,3,-0.0781249925494194
unet,4,0.046875014901161194
unet,5,-0.031249992549419403
unet,6,0.0312500074505806
unet,7,-0.046875
unet,8,-0.031249985098838806
unet,9,-0.015624985098838806
unet,10,-0.015624992549419403
unet,11,-0.031249992549419403
unet,12,0.0468750074505806
unet,13,-0.031249992549419403
unet,14,0.0625000074505806
unet,15,0.015625007450580597
unet,16,0.015625007450580597
unet,17,-0.015624992549419403
unet,18,0.0468750074505806
unet,19,-0.015624992549419403
unet,20,0.0625
unet,21,-0.031249985098838806
unet,22,-0.0937499850988388
unet,23,0.078125
unet,24,-0.0468749925494194
unet,25,-0.0624999925494194
unet,26,-0.015624992549419403
unet,27,7.450580596923828e-09
unet,28,0.015625007450580597
unet,29,-0.0468749925494194
unet,30,7.450580596923828e-09
unet,31,0.0312500074505806
unet,32,0.015625007450580597
unet,33,0.015625007450580597
unet,34,-0.0468749925494194
unet,35,-0.031249992549419403
unet,36,0.04687497764825821
unet,37,0.06249997764825821
unet,38,7.450580596923828e-09
unet,39,0.031250014901161194
unet,40,-0.0468749925494194
unet,41,0.0468750074505806
unet,42,-0.031249992549419403
unet,43,0.031250014901161194
unet,44,0.031250014901161194
unet,45,0.046875014901161194
unet,46,0.0468750074505806
unet,47,-0.031249970197677612
unet,48,0.0312500074505806
unet,49,-0.031249992549419403
unet,50,-0.015624992549419403
unet,51,0.04687497764825821
unet,52,0.0625000149011612
unet,53,1.4901161193847656e-08
unet,54,-0.015624985098838806
unet,55,0.031249985098838806
unet,56,0.0468750074505806
unet,57,-0.015625
unet,58,7.450580596923828e-09
unet,59,0.015625007450580597
unet,60,-0.031249992549419403
unet,61,-0.015624985098838806
unet,62,-0.0468749925494194
unet,63,-0.0781249850988388
unet,64,-0.031249992549419403
unet,65,1.4901161193847656e-08
unet,66,-0.0937499925494194
unet,67,0.04687497019767761
unet,68,-0.0468749925494194
unet,69,-0.031249992549419403
unet,70,0.015625007450580597
unet,71,7.450580596923828e-09
unet,72,0.0468750074505806
unet,73,-0.031249992549419403
unet,74,0.015625007450580597
unet,75,-0.015624992549419403
unet,76,-0.015624992549419403
unet,77,-0.015624985098838806
unet,78,-0.0468749925494194
unet,79,0.01562497764825821
unet,80,-0.015624992549419403
unet,81,-0.0781249925494194
unet,82,0.015625007450580597
unet,83,0.03125
unet,84,-0.015624992549419403
unet,85,0.046874985098838806
unet,86,0.015625007450580597
unet,87,-0.015624992549419403
unet,88,0.015625007450580597
unet,89,0.04687497764825821
unet,90,0.031250014901161194
unet,91,0.0312500074505806
unet,92,0.015625007450580597
unet,93,7.450580596923828e-09
unet,94,-0.03125
unet,95,-0.015624985098838806
unet,96,-0.031249992549419403
unet,97,7.450580596923828e-09
unet,98,-0.0781249850988388
unet,99,-0.0468749925494194
