encoding,n_domains,mean_addition_effect,standard_error,positive_domains,exact_sign_flip_p
A/B,4,0.15234375558793545,0.05426736089800993,4,0.0625
X/Y,4,0.13281248696148396,0.07287014758751187,3,0.125
1/2,4,0.19140624441206455,0.07283523909648948,4,0.0625
