is_true_labels,validation_accuracy,validation_signed_distance,selected_layer,selected_tail_position,test_accuracy_resnet,test_accuracy_transformer
True,1.0,19.36171042919159,26,-1,0.75,0.75
False,0.875,22.312827110290527,30,-1,0.875,0.5
False,1.0,2.4708056449890137,24,-4,0.5,0.625
False,0.875,23.983349800109863,30,-1,0.875,0.5
False,1.0,3.909407615661621,31,-2,0.25,0.5
False,1.0,10.281302690505981,26,-1,0.75,0.75
False,1.0,3.1332056522369385,24,-4,0.25,0.625
False,1.0,6.278495788574219,24,-1,0.75,0.75
False,1.0,9.288997173309326,24,-1,0.75,0.75
False,0.625,1.9705638885498047,33,-1,0.5,0.625
False,0.75,7.240108489990234,29,-1,0.625,0.5
False,0.75,9.774543762207031,29,-1,0.75,0.125
False,1.0,0.4691166877746582,5,-1,0.5,0.5
False,1.0,0.5241780281066895,12,-5,0.25,0.5
False,0.875,6.650800704956055,35,-4,0.25,0.25
False,1.0,15.935872673988342,26,-1,0.75,0.75
False,1.0,2.817559242248535,23,-1,0.625,0.5
False,1.0,8.449017524719238,24,-1,0.75,0.625
False,1.0,21.45447215437889,26,-1,0.75,0.75
False,0.625,-5.309116363525391,29,-1,0.375,0.25
False,0.75,10.60962963104248,29,-1,0.625,0.125
False,0.75,12.362566709518433,29,-1,0.5,0.375
False,0.625,0.9295258522033691,26,-1,0.5,0.375
False,1.0,0.799053430557251,20,-1,0.375,0.5
False,0.875,0.9225063323974609,16,-5,0.5,0.5
False,0.5,-0.03906679153442383,0,-3,0.5,0.5
False,0.5,-0.04748845100402832,0,-3,0.5,0.375
False,0.625,-0.18511533737182617,12,-3,0.25,0.5
False,0.875,0.5090441703796387,1,-5,0.375,0.5
False,1.0,2.0886402130126953,23,-1,0.375,0.5
False,1.0,1.0308170318603516,20,-2,0.25,0.625
False,0.5,-0.03215312957763672,1,-3,0.75,0.625
False,0.5,0.03283286094665527,1,-3,0.75,0.5
False,0.5,0.023750782012939453,1,-3,0.625,0.625
False,1.0,0.3874562978744507,5,-5,0.25,0.5
False,1.0,13.160388946533203,26,-1,0.75,0.75
False,0.875,4.125514030456543,23,-1,0.375,0.5
False,1.0,15.661828935146332,26,-1,0.75,0.75
False,1.0,10.37379789352417,24,-1,0.75,0.875
False,0.875,3.560791015625,34,-4,0.625,0.375
False,0.75,9.506111741065979,26,-1,0.625,0.625
False,0.75,17.692150115966797,35,-4,0.25,0.375
False,0.875,5.874195098876953,32,-5,0.5,0.625
False,0.75,29.542755126953125,35,-4,0.25,0.375
False,0.875,1.6925833821296692,8,-1,0.375,0.5
False,1.0,1.2490897178649902,19,-4,0.5,0.5
False,0.75,2.7967262268066406,28,-2,0.375,0.5
False,0.875,0.41956281661987305,11,-1,0.25,0.375
False,0.875,0.1362828016281128,0,-4,0.5,0.5
False,0.75,28.264617919921875,35,-2,0.25,0.5
False,0.75,29.254435062408447,35,-2,0.25,0.5
False,0.75,0.22711658477783203,14,-2,0.75,0.25
False,0.75,11.330631256103516,35,-4,0.125,0.375
False,0.75,10.56844711303711,35,-4,0.375,0.5
False,0.75,27.226852416992188,35,-4,0.375,0.375
False,0.875,0.6756763458251953,21,-1,0.5,0.25
False,0.75,0.8812352418899536,14,-4,0.625,0.5
False,1.0,7.245007395744324,26,-1,0.875,1.0
False,0.875,2.120335578918457,23,-1,0.5,0.25
False,0.875,3.1923675537109375,23,-1,0.125,0.25
False,0.875,11.207911729812622,26,-1,0.625,1.0
False,0.75,0.17182111740112305,14,-2,0.75,0.25
False,0.75,5.167335510253906,33,-4,0.5,0.375
False,0.75,3.5506973266601562,33,-4,0.75,0.375
False,0.875,5.695428848266602,32,-5,0.375,0.875
False,0.75,0.2709951400756836,16,-2,0.75,0.25
False,1.0,1.5697031021118164,19,-4,0.5,0.5
False,0.75,2.377905249595642,28,-2,0.375,0.375
False,0.75,23.67376708984375,35,-4,0.25,0.375
False,0.75,0.19774484634399414,14,-2,0.75,0.25
