layer,tail_position,direction_norm,validation_decoding_accuracy,validation_addition_effect,validation_ablation_reduction,selection_score
24,-3,0.9046400785446167,0.75,-0.03125,-1.6875,-1.6875
24,-2,1.29327392578125,0.75,-0.09375,-0.25,-0.25
24,-1,4.376000881195068,1.0,1.21875,1.0,1.0
25,-5,0.9978843927383423,0.75,-0.0625,-4.0,-4.0
25,-4,1.6011208295822144,0.625,0.09375,-0.4375,-0.4375
25,-3,1.0100101232528687,0.75,-0.03125,1.4375,-0.03125
25,-2,1.4164329767227173,0.875,-0.09375,0.375,-0.09375
25,-1,5.137628555297852,0.875,1.15625,1.375,1.15625
26,-5,0.9858453869819641,0.75,0.0,-1.3125,-1.3125
26,-4,1.7482105493545532,0.625,0.15625,0.25,0.15625
26,-3,1.0244094133377075,0.75,-0.03125,1.375,-0.03125
26,-2,1.4849735498428345,0.875,0.15625,-0.1875,-0.1875
26,-1,7.924823760986328,1.0,2.5625,1.5,1.5
27,-5,1.0063968896865845,0.75,-0.0625,-0.5625,-0.5625
27,-4,1.6898694038391113,0.75,-0.0625,-0.25,-0.25
27,-3,1.1215275526046753,0.75,-0.0625,1.0,-0.0625
27,-2,1.7474368810653687,0.625,-0.0625,0.1875,-0.0625
27,-1,9.589864730834961,0.75,0.5,1.1875,0.5
28,-5,1.1437116861343384,0.75,-0.125,-0.125,-0.125
28,-4,1.7629421949386597,0.625,-0.0625,-0.125,-0.125
28,-3,1.2585586309432983,0.75,-0.09375,-0.5625,-0.5625
28,-2,1.9315959215164185,0.625,-0.09375,-0.375,-0.375
28,-1,10.328499794006348,0.625,0.28125,1.0,0.28125
29,-5,1.2651010751724243,0.75,-0.09375,-0.375,-0.375
29,-4,1.8382068872451782,0.875,-0.125,-0.0625,-0.125
29,-3,1.3451517820358276,0.75,-0.0625,-0.25,-0.25
29,-2,2.0286014080047607,0.625,-0.03125,0.125,-0.03125
29,-1,10.654955863952637,0.625,0.25,0.9375,0.25
30,-5,1.479050636291504,0.75,-0.0625,-0.1875,-0.1875
30,-4,1.9878339767456055,0.875,-0.03125,-0.0625,-0.0625
30,-3,1.5990291833877563,0.875,-0.0625,0.25,-0.0625
30,-2,2.3283779621124268,0.625,0.0,0.0625,0.0
30,-1,12.119156837463379,0.625,0.3125,0.875,0.3125
31,-5,1.665845513343811,0.75,-0.0625,-0.3125,-0.3125
31,-4,2.2518935203552246,0.875,-0.03125,0.0625,-0.03125
31,-3,1.8707269430160522,0.625,-0.0625,0.1875,-0.0625
31,-2,2.666794538497925,0.625,-0.0625,0.125,-0.0625
31,-1,14.308226585388184,0.75,0.1875,1.5625,0.1875
32,-5,1.819772720336914,0.75,-0.0625,-0.3125,-0.3125
32,-4,2.5380637645721436,0.875,-0.03125,-0.1875,-0.1875
32,-3,2.217742919921875,0.875,-0.125,0.0625,-0.125
32,-2,3.1743152141571045,0.625,-0.0625,-0.3125,-0.3125
32,-1,16.482379913330078,0.5,0.09375,2.0625,0.09375
33,-5,2.0699844360351562,0.75,-0.09375,0.375,-0.09375
33,-4,2.874272584915161,0.625,-0.0625,0.125,-0.0625
33,-3,2.770028829574585,0.875,-0.0625,1.0625,-0.0625
33,-2,3.4027302265167236,0.875,-0.0625,-0.0625,-0.0625
33,-1,16.57672882080078,0.5,0.0,2.1875,0.0
34,-5,2.5864031314849854,0.75,-0.0625,0.1875,-0.0625
34,-4,3.671254873275757,0.75,-0.125,0.8125,-0.125
34,-3,3.3679275512695312,0.75,-0.125,1.0625,-0.125
34,-2,4.515951156616211,0.75,-0.0625,-0.0625,-0.0625
34,-1,17.85286521911621,0.5,0.0,2.0,0.0
35,-5,3.4962735176086426,0.75,-0.125,-0.1875,-0.1875
35,-4,4.814929008483887,0.625,-0.15625,-0.125,-0.15625
35,-3,3.629633665084839,0.75,-0.03125,-0.125,-0.125
35,-2,6.333526611328125,0.75,-0.125,-0.125,-0.125
35,-1,18.721363067626953,0.5,-0.09375,1.6875,-0.09375
