layer,tail_position,direction_norm,validation_decoding_accuracy,validation_addition_effect,validation_ablation_reduction,selection_score
0,-5,0.0575757771730423,0.5,-0.15625,-0.25,-0.25
0,-4,0.051305390894412994,0.5,0.0625,0.0625,0.0625
0,-3,0.0597454234957695,0.5,0.0,-0.4375,-0.4375
0,-2,0.0870240107178688,0.5,-0.15625,-0.5625,-0.5625
0,-1,0.06064705178141594,0.625,-0.125,-0.5625,-0.5625
1,-5,0.18737836182117462,0.5,-0.15625,-0.0625,-0.15625
1,-4,0.06645960360765457,0.625,-0.21875,-0.1875,-0.21875
1,-3,0.16053062677383423,0.5,-0.25,-1.125,-1.125
1,-2,0.1019330620765686,0.5,-0.21875,0.0,-0.21875
1,-1,0.07120303064584732,0.5,-0.21875,-0.4375,-0.4375
2,-5,0.20266662538051605,0.5,-0.125,0.375,-0.125
2,-4,0.08738946914672852,0.625,-0.09375,2.375,-0.09375
2,-3,0.1710241436958313,0.5,-0.1875,1.0,-0.1875
2,-2,0.13017503917217255,0.625,-0.25,-1.0,-1.0
2,-1,0.08958696573972702,0.625,-0.0625,-0.375,-0.375
3,-5,0.28158077597618103,0.5,-0.125,1.5,-0.125
3,-4,0.10655790567398071,0.625,-0.21875,2.5,-0.21875
3,-3,0.19831806421279907,0.5,-0.28125,0.5625,-0.28125
3,-2,0.2467775195837021,0.75,-0.125,2.3125,-0.125
3,-1,0.13512751460075378,0.625,-0.0625,0.5,-0.0625
4,-5,0.38845908641815186,0.75,-0.15625,2.25,-0.15625
4,-4,0.13309761881828308,0.875,-0.28125,2.25,-0.28125
4,-3,0.2696840763092041,0.375,-0.21875,0.625,-0.21875
4,-2,0.2689531743526459,0.75,0.03125,2.125,0.03125
4,-1,0.1664402186870575,0.75,-0.15625,-0.5,-0.5
5,-5,0.43887126445770264,0.625,-0.125,-0.1875,-0.1875
5,-4,0.15805602073669434,0.625,0.0,3.125,0.0
5,-3,0.29853978753089905,0.5,-0.3125,0.0,-0.3125
5,-2,0.30580177903175354,0.625,-0.21875,-0.0625,-0.21875
5,-1,0.21866191923618317,0.625,-0.3125,0.1875,-0.3125
6,-5,0.4536738097667694,0.75,-0.21875,-0.0625,-0.21875
6,-4,0.21896353363990784,0.75,-0.3125,0.9375,-0.3125
6,-3,0.3359264135360718,0.5,-0.375,-0.0625,-0.375
6,-2,0.3691346049308777,0.625,-0.34375,-5.375,-5.375
6,-1,0.25654953718185425,0.75,-0.34375,1.625,-0.34375
7,-5,0.4846912920475006,0.75,-0.125,2.1875,-0.125
7,-4,0.33689194917678833,0.875,-0.21875,0.75,-0.21875
7,-3,0.471822589635849,0.625,-0.25,0.5,-0.25
7,-2,0.4232504069805145,0.625,-0.09375,-1.125,-1.125
7,-1,0.2843894958496094,0.75,-0.03125,2.3125,-0.03125
8,-5,0.5439535975456238,0.625,0.0,1.9375,0.0
8,-4,0.4006801247596741,1.0,-0.21875,0.9375,-0.21875
8,-3,0.4956841766834259,0.625,-0.3125,0.25,-0.3125
8,-2,0.44642141461372375,0.625,-0.15625,-0.3125,-0.3125
8,-1,0.37886151671409607,0.75,-0.3125,0.8125,-0.3125
9,-5,0.5254159569740295,0.75,-0.21875,0.3125,-0.21875
9,-4,0.4142724871635437,1.0,-0.0625,0.4375,-0.0625
9,-3,0.5003047585487366,0.625,-0.21875,-0.8125,-0.8125
9,-2,0.4493677318096161,0.5,-0.09375,0.9375,-0.09375
9,-1,0.3898599445819855,0.875,-0.125,-1.0,-1.0
10,-5,0.49495622515678406,0.875,-0.03125,0.0,-0.03125
10,-4,0.4173026382923126,0.875,-0.25,0.3125,-0.25
10,-3,0.48441004753112793,0.625,-0.34375,0.125,-0.34375
10,-2,0.6656292080879211,0.5,-0.25,1.0,-0.25
10,-1,0.37369123101234436,0.875,-0.25,-0.625,-0.625
11,-5,0.4945031702518463,0.75,0.03125,0.0,0.0
11,-4,0.4673040211200714,0.875,-0.375,-3.9375,-3.9375
11,-3,0.4868166446685791,0.625,-0.125,-0.25,-0.25
11,-2,0.7261436581611633,0.375,-0.15625,-1.3125,-1.3125
11,-1,0.41194820404052734,0.875,-0.25,-1.9375,-1.9375
12,-5,0.4758196175098419,0.75,-0.25,-0.125,-0.25
12,-4,0.4464612901210785,0.875,-0.25,-1.5,-1.5
12,-3,0.4812662899494171,0.625,-0.0625,-0.5,-0.5
12,-2,0.6770637631416321,0.625,-0.1875,-3.0,-3.0
12,-1,0.3890809118747711,0.75,-0.125,0.0625,-0.125
13,-5,0.5172750353813171,0.75,-0.40625,-0.1875,-0.40625
13,-4,0.44896936416625977,0.875,-0.25,0.4375,-0.25
13,-3,0.5303365588188171,0.625,-0.0625,1.125,-0.0625
13,-2,0.6981776356697083,0.625,-0.125,-2.9375,-2.9375
13,-1,0.42373865842819214,0.75,-0.09375,-0.6875,-0.6875
14,-5,0.5082285404205322,0.75,-0.15625,0.125,-0.15625
14,-4,0.454689621925354,0.5,-0.25,-0.6875,-0.6875
14,-3,0.5636938810348511,0.75,-0.25,2.75,-0.25
14,-2,0.7092787027359009,0.25,0.03125,0.5625,0.03125
14,-1,0.42109784483909607,0.75,0.125,0.0625,0.0625
15,-5,0.5232630968093872,0.75,-0.3125,0.5,-0.3125
15,-4,0.5304667353630066,0.625,-0.53125,1.6875,-0.53125
15,-3,0.571463406085968,0.75,-0.34375,1.0,-0.34375
15,-2,0.6988535523414612,0.5,-0.40625,2.0,-0.40625
15,-1,0.42156922817230225,0.875,0.0,-1.6875,-1.6875
16,-5,0.551365077495575,0.75,-0.34375,-1.625,-1.625
16,-4,0.6404131650924683,0.75,-0.5,-2.625,-2.625
16,-3,0.573563277721405,0.75,-0.28125,2.625,-0.28125
16,-2,0.6793058514595032,0.375,-0.21875,2.1875,-0.21875
16,-1,0.4486856758594513,0.75,-0.25,-1.875,-1.875
17,-5,0.5812434554100037,0.625,-0.03125,0.0,-0.03125
17,-4,0.7004648447036743,0.75,-0.5,-1.125,-1.125
17,-3,0.6034711599349976,0.75,0.09375,1.3125,0.09375
17,-2,0.6873364448547363,0.625,-0.15625,0.875,-0.15625
17,-1,0.46871358156204224,0.75,-0.03125,-0.875,-0.875
18,-5,0.6673028469085693,0.75,-0.125,-1.0,-1.0
18,-4,0.7503558993339539,0.75,-0.34375,-0.5625,-0.5625
18,-3,0.6142929196357727,0.75,-0.3125,0.375,-0.3125
18,-2,0.7707022428512573,0.625,-0.1875,-2.25,-2.25
18,-1,0.5919914841651917,0.875,-0.0625,0.0,-0.0625
19,-5,0.6722267270088196,0.625,0.21875,-0.0625,-0.0625
19,-4,0.772464394569397,0.75,-0.1875,-2.3125,-2.3125
19,-3,0.6810019016265869,0.75,-0.09375,2.0,-0.09375
19,-2,0.7937707304954529,0.75,-0.15625,-0.25,-0.25
19,-1,0.580757200717926,0.875,0.03125,-0.75,-0.75
20,-5,0.6729770302772522,0.75,0.03125,-0.8125,-0.8125
20,-4,0.8417036533355713,0.75,-0.09375,-1.4375,-1.4375
20,-3,0.7315467000007629,0.75,0.0,0.875,0.0
20,-2,0.7744407057762146,0.75,0.0,-0.4375,-0.4375
20,-1,0.6530555486679077,0.875,0.125,-0.875,-0.875
21,-5,0.7232328653335571,0.75,0.0625,-1.0,-1.0
21,-4,0.9295201897621155,0.75,0.1875,-1.625,-1.625
21,-3,0.7677119970321655,0.75,-0.09375,0.25,-0.09375
21,-2,0.9359983205795288,0.75,-0.0625,0.4375,-0.0625
21,-1,0.8186787962913513,1.0,0.25,-0.4375,-0.4375
22,-5,0.815787136554718,0.75,0.0625,-1.0625,-1.0625
22,-4,0.9544543027877808,0.625,0.125,-3.75,-3.75
22,-3,0.7924509048461914,0.75,0.0,0.625,0.0
22,-2,0.9435128569602966,0.875,-0.15625,0.25,-0.15625
22,-1,1.0476415157318115,1.0,0.46875,-0.4375,-0.4375
23,-5,0.8863229751586914,0.875,-0.03125,1.125,-0.03125
23,-4,1.174933910369873,0.875,0.1875,-1.875,-1.875
23,-3,0.8260047435760498,0.75,-0.09375,-0.0625,-0.09375
23,-2,1.1453603506088257,0.75,0.03125,0.125,0.03125
23,-1,1.3430495262145996,1.0,0.1875,0.0625,0.0625
24,-5,0.9214176535606384,0.875,-0.0625,0.4375,-0.0625
24,-4,1.6466524600982666,1.0,0.125,0.25,0.125
