scope,tokens,baseline_nll,changed_nll,nll_increase,baseline_perplexity,changed_perplexity,mean_next_token_kl,top1_agreement,kind,seed
selected:26,4080,2.6818932028377755,2.7199042525945925,0.038011049756816906,14.612731990470031,15.178868838066771,0.03471761801663567,0.9352941176470588,learned,-1
all,4080,2.6818932028377755,2.807176238415288,0.12528303557751252,14.612731990470031,16.56308192817565,0.11283621601029939,0.8382352941176471,learned,-1
all,4080,2.6818932028377755,2.6927864523494947,0.010893249511719105,14.612731990470031,14.77278227727848,0.00943893778557871,0.950735294117647,random,0
all,4080,2.6818932028377755,2.689491631002987,0.0075984281652115016,14.612731990470031,14.724188696428106,0.005723611689081379,0.9575980392156863,random,1
all,4080,2.6818932028377755,2.6894664988798254,0.007573296042049815,14.612731990470031,14.723818650954366,0.006601812851195242,0.9615196078431373,random,2
all,4080,2.6818932028377755,2.6904538921281405,0.008560689290364909,14.612731990470031,14.738364029902472,0.006283388944233165,0.9588235294117647,random,3
all,4080,2.6818932028377755,2.6828022077971814,0.0009090049594058236,14.612731990470031,14.626021075326804,0.005930038234766792,0.9629901960784314,random,4
all,4080,2.6818932028377755,2.6840977986653645,0.0022045958275889177,14.612731990470031,14.644982695268327,0.00870607173910328,0.9495098039215686,random,5
all,4080,2.6818932028377755,2.6888549206303614,0.006961717792585809,14.612731990470031,14.714816636717028,0.007929155990189196,0.9529411764705882,random,6
all,4080,2.6818932028377755,2.6963312485638786,0.014438045726103077,14.612731990470031,14.825241704027654,0.015049549060709336,0.9379901960784314,random,7
all,4080,2.6818932028377755,2.681469337612975,-0.00042386522480075683,14.612731990470031,14.606539474028837,0.008565847780190263,0.953186274509804,random,8
all,4080,2.6818932028377755,2.6852175843481922,0.0033243815104166963,14.612731990470031,14.661391122462103,0.005238467980833615,0.9659313725490196,random,9
