source,component,signed_loading,loading_over_contrast_norm
bert,1,-0.27444788813591003,-0.5785443186759949
bert,2,0.179036945104599,0.3774152100086212
bert,3,0.22823701798915863,0.481130450963974
bert,4,0.029489800333976746,0.06216537952423096
bert,5,0.13531552255153656,0.28524914383888245
bert,6,0.14206373691558838,0.2994745969772339
bert,7,-0.16172419488430023,-0.3409194350242615
bert,8,-0.006985535845160484,-0.014725717715919018
ddpm,1,-0.4365096986293793,-0.7892405390739441
ddpm,2,0.11105016618967056,0.20078659057617188
ddpm,3,-0.14496636390686035,-0.2621094882488251
ddpm,4,-0.10236628353595734,-0.18508552014827728
ddpm,5,-0.20968246459960938,-0.379120796918869
ddpm,6,0.15582500398159027,0.2817426919937134
ddpm,7,0.051106490194797516,0.09240416437387466
ddpm,8,-0.02580571547150612,-0.04665856808423996
gcn,1,-0.34029456973075867,-0.6573947072029114
gcn,2,0.1020265594124794,0.1970990002155304
gcn,3,-0.02495664544403553,-0.04821224883198738
gcn,4,0.35014379024505615,0.6764218211174011
gcn,5,-0.07284344732761383,-0.1407218873500824
gcn,6,-0.11314283311367035,-0.21857386827468872
gcn,7,0.0008062480483204126,0.0015575423603877425
gcn,8,0.020265445113182068,0.03914960101246834
kriging,1,-0.49534866213798523,-0.7435884475708008
kriging,2,-0.43509194254875183,-0.6531345844268799
kriging,3,0.010392486117780209,0.015600592829287052
kriging,4,-0.03186944127082825,-0.04784054309129715
kriging,5,0.08776593953371048,0.13174909353256226
kriging,6,-0.016301820054650307,-0.024471338838338852
kriging,7,0.0006709631998091936,0.0010072106961160898
kriging,8,0.0011360502103343606,0.0017053722403943539
resnet,1,-0.15693531930446625,-0.47949740290641785
resnet,2,0.1353628784418106,0.4135853350162506
resnet,3,-0.05197908356785774,-0.15881597995758057
resnet,4,-0.08041906356811523,-0.24571098387241364
resnet,5,0.10813107341527939,0.3303817808628082
resnet,6,-0.005151023156940937,-0.015738345682621002
resnet,7,0.08518150448799133,0.26026207208633423
resnet,8,0.1898001879453659,0.5799121260643005
transformer,1,-0.06683322787284851,-0.1561494618654251
transformer,2,0.034752555191516876,0.08119603246450424
transformer,3,0.3667137026786804,0.856791615486145
transformer,4,-0.006613132078200579,-0.01545095257461071
transformer,5,-0.023343680426478386,-0.05454028397798538
transformer,6,-0.0054140654392540455,-0.012649447657167912
transformer,7,0.20327238738536835,0.47492656111717224
transformer,8,-0.03316580131649971,-0.0774887353181839
unet,1,-0.16830642521381378,-0.4052962064743042
unet,2,0.18091878294944763,0.43566784262657166
unet,3,-0.19097492098808289,-0.4598838686943054
unet,4,-0.02454114705324173,-0.05909717082977295
unet,5,0.22557471692562103,0.5432031154632568
unet,6,-0.04649358615279198,-0.1119605153799057
unet,7,0.09278999269008636,0.22344620525836945
unet,8,-0.11251331120729446,-0.2709416449069977
xgboost,1,-0.22751769423484802,-0.5231150984764099
xgboost,2,0.12823794782161713,0.29484832286834717
xgboost,3,0.08692064881324768,0.1998504102230072
xgboost,4,-0.2179276943206787,-0.5010655522346497
xgboost,5,-0.07766440510749817,-0.17856819927692413
xgboost,6,-0.22607295215129852,-0.5197933316230774
xgboost,7,-0.09274464100599289,-0.2132411003112793
xgboost,8,-0.012791991233825684,-0.029411708936095238
