encoding,condition,mean_slope,standard_error,positive_domains,exact_one_sided_p
A/B,domain_expert,0.21210937621071935,0.013498582807679274,8,0.00390625
A/B,matched_other_expert,0.16015625204890965,0.014268701885087562,8,0.00390625
X/Y,domain_expert,0.23359375074505806,0.013268113106843789,8,0.00390625
X/Y,matched_other_expert,0.1726562482304871,0.022462999692259757,8,0.00390625
1/2,domain_expert,0.24414062760770322,0.021638045941044157,8,0.00390625
1/2,matched_other_expert,0.16640624925494193,0.024519304429932977,8,0.00390625
