heldout_source,layer,tail_position,direction_norm,validation_addition_effect,validation_ablation_reduction,selection_score
bert,0,-5,0.004260077141225338,3.193105970110212e-09,0.031249991485050754,3.193105970110212e-09
bert,0,-4,0.005833109375089407,-0.015624998403447015,0.017857142857142877,-0.015624998403447015
bert,0,-3,0.0043011801317334175,0.002232139664036887,0.2633928539497512,0.002232139664036887
bert,0,-2,0.005332417786121368,2.128737313406808e-09,0.11160714817898615,2.128737313406808e-09
bert,0,-1,0.0030321714002639055,0.008928569832018443,0.1473214307001659,0.008928569832018443
bert,1,-5,0.012052745558321476,0.015625001596552984,0.0223214307001659,0.015625001596552984
bert,1,-4,0.01297636516392231,-0.017857146050248827,0.17857142857142858,-0.017857146050248827
bert,1,-3,0.009376732632517815,0.011160716414451599,0.0624999978712627,0.011160716414451599
bert,1,-2,0.01176767610013485,0.002232143921511514,-0.004464294229234944,-0.004464294229234944
bert,1,-1,0.010151194408535957,0.0089285708963871,0.013392855014119853,0.0089285708963871
bert,2,-5,0.017891662195324898,0.011160716414451599,0.0044642878430230515,0.0044642878430230515
bert,2,-4,0.01935702934861183,0.00892856823546546,0.035714285714285726,0.00892856823546546
bert,2,-3,0.01870444416999817,0.011160712156976973,-0.026785720671926222,-0.026785720671926222
bert,2,-2,0.014455350115895271,0.011160717478820257,0.004464286778654375,0.004464286778654375
bert,2,-1,0.015653103590011597,0.006696426442691258,0.01785715243646077,0.006696426442691258
bert,3,-5,0.05170072615146637,0.011160713221345629,0.0178571471146175,0.011160713221345629
bert,3,-4,0.03754377365112305,-0.0133928582072258,0.017857142857142877,-0.0133928582072258
bert,3,-3,0.031948260962963104,-0.0089285708963871,-0.013392850756645203,-0.013392850756645203
bert,3,-2,0.023180678486824036,0.0044642846499170575,-0.00892856823546545,-0.00892856823546545
bert,3,-1,0.03866808861494064,-0.002232142857142857,-0.0223214275070599,-0.0223214275070599
bert,4,-5,0.07075865566730499,0.0022321492433547974,0.022321432828903198,0.0022321492433547974
bert,4,-4,0.0549195259809494,-0.008928575686046056,0.031249996806894054,-0.008928575686046056
bert,4,-3,0.04727673530578613,3.193105970110212e-09,0.008928577814783373,3.193105970110212e-09
bert,4,-2,0.03568121790885925,-0.004464287843023028,-0.008928574621677399,-0.008928574621677399
bert,4,-1,0.056351758539676666,-0.0401785746216774,-0.004464289971760321,-0.0401785746216774
bert,5,-5,0.07128334045410156,0.015624997871262687,0.031250002128737325,0.015624997871262687
bert,5,-4,0.06016930937767029,-0.004464287843023028,0.004464274006230506,-0.004464287843023028
bert,5,-3,0.04996156319975853,0.006696426974875587,-0.004464300615446892,-0.004464300615446892
bert,5,-2,0.03753914311528206,-0.01339285128882953,-0.013392859271594448,-0.013392859271594448
bert,5,-1,0.05903521180152893,-0.017857146050248827,0.008928575686046075,-0.017857146050248827
bert,6,-5,0.07511551678180695,0.00892856823546546,-0.008928584200995293,-0.008928584200995293
bert,6,-4,0.06572973728179932,-0.002232139664036887,0.022321433893271875,-0.002232139664036887
bert,6,-3,0.050710529088974,-0.006696425378322601,-1.0643686543243547e-08,-0.006696425378322601
bert,6,-2,0.039266545325517654,1.064368656703404e-09,-0.008928575686046047,-0.008928575686046047
bert,6,-1,0.0570390410721302,0.008928569299834115,0.026785705770765056,0.008928569299834115
bert,7,-5,0.14711225032806396,0.049107140728405545,0.053571434957640524,0.049107140728405545
bert,7,-4,0.08850354701280594,0.022321424846138273,-0.017857143921511498,-0.017857143921511498
bert,7,-3,0.0612824484705925,0.0066964296357972285,0.008928571428571452,0.0066964296357972285
bert,7,-2,0.04913226515054703,-0.0223214291036129,4.2574746506041095e-09,-0.0223214291036129
bert,7,-1,0.08346429467201233,-0.008928570364202772,0.008928569299834127,-0.008928570364202772
bert,8,-5,0.14870166778564453,0.033482147114617486,0.017857142857142877,0.017857142857142877
bert,8,-4,0.1033746674656868,0.0044642942292349675,8.514949273452643e-09,8.514949273452643e-09
bert,8,-3,0.06622438132762909,0.002232140728405544,2.1287373253020547e-09,2.1287373253020547e-09
bert,8,-2,0.05726601555943489,-0.031250005321843285,0.031249997871262702,-0.031250005321843285
bert,8,-1,0.08182107657194138,4.257474626813616e-09,0.004464296357972297,4.257474626813616e-09
bert,9,-5,0.1713816374540329,-0.024553575153861727,0.035714275070599155,-0.024553575153861727
bert,9,-4,0.10694669932126999,0.013392856610672814,0.03125,0.013392856610672814
bert,9,-3,0.06777070462703705,-0.004464276134967804,0.013392859271594476,-0.004464276134967804
bert,9,-2,0.06718230992555618,-0.011160713753529958,0.049107144985880175,-0.011160713753529958
bert,9,-1,0.08577236533164978,-0.004464280392442431,0.004464305937290192,-0.004464280392442431
bert,10,-5,0.17291449010372162,-0.0334821417927742,0.017857142857142877,-0.0334821417927742
bert,10,-4,0.10862775146961212,0.04910714019622121,0.017857144985880175,0.017857144985880175
bert,10,-3,0.07090097665786743,-0.006696431232350213,0.0044642878430230515,-0.006696431232350213
bert,10,-2,0.07358913868665695,-0.004464282521179744,0.0044642878430230515,-0.004464282521179744
bert,10,-1,0.0849963128566742,0.0200892873108387,0.013392860335963125,0.013392860335963125
bert,11,-5,0.2199138104915619,-0.0848214291036129,-0.01339287630149294,-0.0848214291036129
bert,11,-4,0.12697406113147736,0.06696428571428571,0.03125,0.03125
bert,11,-3,0.07711565494537354,0.002232145518064499,0.02232143708637785,0.002232145518064499
bert,11,-2,0.08895274996757507,-0.02678571588226727,-0.013392848627907877,-0.02678571588226727
bert,11,-1,0.11357778310775757,-0.029017857142857144,0.022321432828903198,-0.029017857142857144
bert,12,-5,0.21342572569847107,-0.0401785746216774,0.013392850756645203,-0.0401785746216774
bert,12,-4,0.12880082428455353,0.04464285501411983,0.0669642835855484,0.04464285501411983
bert,12,-3,0.07606418430805206,-0.011160715350082942,0.031249991485050754,-0.011160715350082942
bert,12,-2,0.09536109119653702,-0.00446428411773273,0.013392855014119853,-0.00446428411773273
bert,12,-1,0.11235009133815765,-0.011160716414451599,3.1931059740752943e-09,-0.011160716414451599
bert,13,-5,0.2140432894229889,-0.006696432828903198,-0.0133928582072258,-0.0133928582072258
bert,13,-4,0.14492757618427277,0.03125,0.0267857164144516,0.0267857164144516
bert,13,-3,0.07990840077400208,-0.013392850756645203,0.02678571535008295,-0.013392850756645203
bert,13,-2,0.10484142601490021,-0.029017859271594455,6.3862119481505886e-09,-0.029017859271594455
bert,13,-1,0.11896637827157974,-0.013392856078488486,0.008928565042359504,-0.013392856078488486
bert,14,-5,0.2194407880306244,-0.029017859803778783,-0.0178571364709309,-0.029017859803778783
bert,14,-4,0.1462629735469818,0.015624998403447015,0.02678570364202773,0.015624998403447015
bert,14,-3,0.08522406965494156,3.193105970110212e-09,0.044642848627907905,3.193105970110212e-09
bert,14,-2,0.11246725171804428,-0.026785717478820255,0.0223214253783226,-0.026785717478820255
bert,14,-1,0.11893495172262192,0.0022321492433547974,0.026785719607557573,0.0022321492433547974
bert,15,-5,0.30400848388671875,0.017857146050248827,0.04017857355730875,0.017857146050248827
bert,15,-4,0.1650732159614563,0.05803571535008294,0.017857138599668254,0.017857138599668254
bert,15,-3,0.09609531611204147,0.008928574621677399,-0.004464281456811076,-0.004464281456811076
bert,15,-2,0.13992731273174286,-0.035714286246470044,0.004464291036128998,-0.035714286246470044
