scope,tokens,baseline_nll,changed_nll,nll_increase,baseline_perplexity,changed_perplexity,mean_next_token_kl,top1_agreement,kind,seed
selected:12,4080,2.271461187624464,2.2785008149988513,0.007039627374387347,9.693554572884926,9.76203433822628,0.01192481938530417,0.9551470588235295,learned,-1
all,4080,2.271461187624464,2.3192412133310354,0.04778002570657147,9.693554572884926,10.1679560686803,0.03520121106914446,0.9004901960784314,learned,-1
all,4080,2.271461187624464,2.2734783097809435,0.002017122156479534,9.693554572884926,9.713127390334348,0.007848640750436222,0.9561274509803922,random,0
all,4080,2.271461187624464,2.27666940128102,0.005208213656556104,9.693554572884926,9.744172375939225,0.010496217129277247,0.9546568627450981,random,1
all,4080,2.271461187624464,2.2938143861060047,0.022353198481540826,9.693554572884926,9.91267643559539,0.03199978646110086,0.9075980392156863,random,2
all,4080,2.271461187624464,2.273424664665671,0.001963477041206918,9.693554572884926,9.712606342471796,0.005824463799888013,0.967156862745098,random,3
all,4080,2.271461187624464,2.2858572268018538,0.014396039177389852,9.693554572884926,9.834112676769765,0.012621838321872785,0.9372549019607843,random,4
all,4080,2.271461187624464,2.2776408775179995,0.006179689893535567,9.693554572884926,9.753643207450507,0.00844670615944208,0.9634803921568628,random,5
all,4080,2.271461187624464,2.2994841033337163,0.028022915709252416,9.693554572884926,9.969038134420344,0.022492504587360455,0.9225490196078432,random,6
all,4080,2.271461187624464,2.2769769705978096,0.005515782973345651,9.693554572884926,9.747169845320748,0.0075473334859399235,0.9610294117647059,random,7
all,4080,2.271461187624464,2.2893959793390013,0.01793479171453738,9.693554572884926,9.868974815815909,0.01766965856739119,0.9198529411764705,random,8
all,4080,2.271461187624464,2.2794205011106006,0.007959313486136654,9.693554572884926,9.771016475369851,0.00943265954653422,0.9536764705882353,random,9
