scope,tokens,baseline_nll,changed_nll,nll_increase,baseline_perplexity,changed_perplexity,mean_next_token_kl,top1_agreement,kind,seed
selected:12,4080,2.271461187624464,2.2785008149988513,0.007039627374387347,9.693554572884926,9.76203433822628,0.01192481938530417,0.9551470588235295,learned,-1
selected:12,4080,2.271461187624464,2.274374359729243,0.0029131721047792603,9.693554572884926,9.72183473815697,0.004374554431905934,0.9720588235294118,random,0
selected:12,4080,2.271461187624464,2.2756065518248314,0.004145364200367485,9.693554572884926,9.73382128942621,0.006981357055551866,0.9725490196078431,random,1
selected:12,4080,2.271461187624464,2.3148602953144146,0.0433991076899507,9.693554572884926,10.123508518371846,0.049570992413689105,0.9294117647058824,random,2
selected:12,4080,2.271461187624464,2.2702836878159465,-0.001177499808517446,9.693554572884926,9.682147131679459,0.0028852338007852142,0.9794117647058823,random,3
selected:12,4080,2.271461187624464,2.274120345770144,0.002659158145680074,9.693554572884926,9.719365570040283,0.006684710874277002,0.9642156862745098,random,4
selected:12,4080,2.271461187624464,2.2782135009765625,0.006752313352098582,9.693554572884926,9.759229971761041,0.010646130290685915,0.9693627450980392,random,5
selected:12,4080,2.271461187624464,2.2842830283969056,0.01282184077244164,9.693554572884926,9.818644010848931,0.01420969144970763,0.9598039215686275,random,6
selected:12,4080,2.271461187624464,2.2721513037588084,0.0006901161343444429,9.693554572884926,9.70024656015342,0.0029893625892844855,0.9803921568627451,random,7
selected:12,4080,2.271461187624464,2.2823728374406405,0.010911649816176539,9.693554572884926,9.799906427735046,0.015733922229093665,0.9546568627450981,random,8
selected:12,4080,2.271461187624464,2.2842919443167893,0.012830756692325362,9.693554572884926,9.81873155348256,0.014292150852726955,0.9666666666666667,random,9
