kind,seed,source,addition_effect,aggregate_mean
random,0,anchorshift,-0.203125,-0.19628906901925802
random,0,driftgate,-0.03125,-0.19628906901925802
random,0,fluxpatch,-0.265625,-0.19628906901925802
random,0,motifbridge,-0.1718749925494194,-0.19628906901925802
random,0,phasenest,-0.234375,-0.19628906901925802
random,0,phasesar,-0.046875059604644775,-0.19628906901925802
random,0,quorumweave,-0.3203125,-0.19628906901925802
random,0,shardbloom,-0.296875,-0.19628906901925802
random,1,anchorshift,-0.1171875,-7.450580596923828e-09
random,1,driftgate,0.03125,-7.450580596923828e-09
random,1,fluxpatch,0.1718750074505806,-7.450580596923828e-09
random,1,motifbridge,0.1875000074505806,-7.450580596923828e-09
random,1,phasenest,-0.031250014901161194,-7.450580596923828e-09
random,1,phasesar,0.07812494039535522,-7.450580596923828e-09
random,1,quorumweave,-0.1640625,-7.450580596923828e-09
random,1,shardbloom,-0.15625,-7.450580596923828e-09
random,2,anchorshift,0.0390625,-0.010742207989096642
random,2,driftgate,-0.203125,-0.010742207989096642
random,2,fluxpatch,-0.0468749925494194,-0.010742207989096642
random,2,motifbridge,-0.015624992549419403,-0.010742207989096642
random,2,phasenest,0.09375,-0.010742207989096642
random,2,phasesar,0.14062482118606567,-0.010742207989096642
random,2,quorumweave,-0.15625,-0.010742207989096642
random,2,shardbloom,0.0625,-0.010742207989096642
random,3,anchorshift,-0.125,-0.18652345053851604
random,3,driftgate,-0.25,-0.18652345053851604
random,3,fluxpatch,-0.2812499925494194,-0.18652345053851604
random,3,motifbridge,-0.0937499925494194,-0.18652345053851604
random,3,phasenest,-0.25,-0.18652345053851604
random,3,phasesar,-0.12500011920928955,-0.18652345053851604
random,3,quorumweave,-0.2734375,-0.18652345053851604
random,3,shardbloom,-0.09375,-0.18652345053851604
random,4,anchorshift,-0.0546875,0.041992174461483955
random,4,driftgate,0.17187494039535522,0.041992174461483955
random,4,fluxpatch,0.03125002235174179,0.041992174461483955
random,4,motifbridge,-0.0625000074505806,0.041992174461483955
random,4,phasenest,-0.046875,0.041992174461483955
random,4,phasesar,0.12499994039535522,0.041992174461483955
random,4,quorumweave,-0.015625,0.041992174461483955
random,4,shardbloom,0.1875,0.041992174461483955
random,5,anchorshift,-0.35937511920928955,-0.09765627142041922
random,5,driftgate,0.171875,-0.09765627142041922
random,5,fluxpatch,0.03125,-0.09765627142041922
random,5,motifbridge,7.450580596923828e-09,-0.09765627142041922
random,5,phasenest,-0.15625,-0.09765627142041922
random,5,phasesar,0.062499940395355225,-0.09765627142041922
random,5,quorumweave,-0.234375,-0.09765627142041922
random,5,shardbloom,-0.296875,-0.09765627142041922
random,6,anchorshift,0.0546875,-0.14160156529396772
random,6,driftgate,-0.12499997019767761,-0.14160156529396772
random,6,fluxpatch,-0.3281249925494194,-0.14160156529396772
random,6,motifbridge,-0.140625,-0.14160156529396772
random,6,phasenest,-0.28125,-0.14160156529396772
random,6,phasesar,-0.18750005960464478,-0.14160156529396772
random,6,quorumweave,-0.0625,-0.14160156529396772
random,6,shardbloom,-0.0625,-0.14160156529396772
random,7,anchorshift,0.046875,-0.01953127048909664
random,7,driftgate,-0.125,-0.01953127048909664
random,7,fluxpatch,0.0468750074505806,-0.01953127048909664
random,7,motifbridge,0.0312500074505806,-0.01953127048909664
random,7,phasenest,-0.109375,-0.01953127048909664
