heldout_source,seed,mean_addition_effect
bert,0,0.125
bert,1,-0.125
bert,2,-0.4375
bert,3,0.34375
bert,4,-0.25
bert,5,0.21875
bert,6,-0.125
bert,7,-0.21875
bert,8,0.5
bert,9,-0.03125
bert,10,0.3125
bert,11,0.0625
bert,12,-0.34375
bert,13,0.59375
bert,14,-0.59375
bert,15,-0.09375
bert,16,0.1875
bert,17,0.21875
bert,18,-0.21875
bert,19,-0.1875
bert,20,-0.21875
bert,21,-0.375
bert,22,0.0
bert,23,-0.25
bert,24,-0.34375
bert,25,-0.53125
bert,26,0.0625
bert,27,0.125
bert,28,0.375
bert,29,-0.0625
bert,30,-0.1875
bert,31,0.0
bert,32,-0.0625
bert,33,0.15625
bert,34,-0.03125
bert,35,-0.4375
bert,36,0.09375
bert,37,0.53125
bert,38,0.15625
bert,39,0.1875
bert,40,0.25
bert,41,0.0
bert,42,0.21875
bert,43,0.09375
bert,44,0.15625
bert,45,0.5625
bert,46,-0.53125
bert,47,-0.5625
bert,48,0.0625
bert,49,0.375
bert,50,-0.03125
bert,51,0.0
bert,52,-0.3125
bert,53,-0.40625
bert,54,0.21875
bert,55,-0.09375
bert,56,0.03125
bert,57,0.375
bert,58,0.21875
bert,59,0.0
bert,60,0.09375
bert,61,0.375
bert,62,-0.90625
bert,63,0.8125
bert,64,0.0625
bert,65,0.03125
bert,66,0.3125
bert,67,0.0625
bert,68,0.25
bert,69,0.09375
bert,70,0.25
bert,71,0.375
bert,72,-0.5625
bert,73,0.28125
bert,74,-0.375
bert,75,0.1875
bert,76,0.40625
bert,77,-0.03125
bert,78,0.0
bert,79,-0.4375
bert,80,0.0
bert,81,0.03125
bert,82,-0.15625
bert,83,-0.21875
bert,84,-0.1875
bert,85,-0.25
bert,86,-0.25
bert,87,-0.53125
bert,88,-0.125
bert,89,-0.375
bert,90,0.34375
bert,91,0.0
bert,92,0.0625
bert,93,0.09375
bert,94,0.0625
bert,95,0.4375
bert,96,-0.03125
bert,97,-0.03125
bert,98,-0.40625
bert,99,-0.125
ddpm,0,0.125
ddpm,1,-0.1875
ddpm,2,0.0625
ddpm,3,0.15625
ddpm,4,0.125
ddpm,5,-0.03125
ddpm,6,0.15625
ddpm,7,0.15625
ddpm,8,-0.03125
ddpm,9,-0.03125
ddpm,10,-0.03125
ddpm,11,-0.0625
ddpm,12,-0.125
ddpm,13,-0.125
ddpm,14,0.25
ddpm,15,-0.03125
ddpm,16,-0.4375
ddpm,17,-0.0625
ddpm,18,0.03125
ddpm,19,0.125
ddpm,20,-0.09375
ddpm,21,0.125
ddpm,22,-0.3125
ddpm,23,0.09375
ddpm,24,-0.28125
ddpm,25,-0.03125
ddpm,26,0.375
ddpm,27,-0.125
ddpm,28,0.125
ddpm,29,0.0
ddpm,30,0.03125
ddpm,31,-0.1875
ddpm,32,-0.03125
ddpm,33,0.0625
ddpm,34,0.28125
ddpm,35,-0.09375
ddpm,36,0.0
ddpm,37,-0.375
ddpm,38,0.15625
ddpm,39,-0.09375
ddpm,40,0.09375
ddpm,41,0.03125
ddpm,42,0.21875
ddpm,43,0.0
ddpm,44,-0.125
ddpm,45,0.0
ddpm,46,0.3125
ddpm,47,-0.125
ddpm,48,-0.03125
ddpm,49,-0.03125
ddpm,50,0.1875
ddpm,51,-0.125
ddpm,52,0.21875
ddpm,53,-0.09375
ddpm,54,0.09375
ddpm,55,0.0
ddpm,56,0.0625
ddpm,57,0.0
ddpm,58,0.0
ddpm,59,0.0625
ddpm,60,0.0
ddpm,61,-0.125
ddpm,62,-0.25
ddpm,63,0.1875
ddpm,64,0.0
ddpm,65,0.03125
ddpm,66,0.03125
ddpm,67,-0.15625
ddpm,68,0.0
ddpm,69,0.21875
ddpm,70,-0.0625
ddpm,71,-0.1875
ddpm,72,-0.03125
ddpm,73,0.28125
ddpm,74,0.125
ddpm,75,0.09375
ddpm,76,-0.15625
ddpm,77,-0.0625
ddpm,78,-0.03125
ddpm,79,-0.125
ddpm,80,-0.125
ddpm,81,0.15625
ddpm,82,0.34375
ddpm,83,-0.03125
ddpm,84,0.1875
ddpm,85,0.125
ddpm,86,0.28125
ddpm,87,-0.125
ddpm,88,0.09375
ddpm,89,0.21875
ddpm,90,0.0625
ddpm,91,0.09375
ddpm,92,0.1875
ddpm,93,0.15625
ddpm,94,-0.125
ddpm,95,0.15625
ddpm,96,0.03125
ddpm,97,-0.0625
ddpm,98,0.0
ddpm,99,0.0625
gcn,0,0.15625
gcn,1,0.09375
gcn,2,0.21875
gcn,3,-0.09375
gcn,4,0.125
gcn,5,-0.09375
gcn,6,0.1875
gcn,7,-0.03125
gcn,8,0.09375
gcn,9,0.0625
gcn,10,0.15625
gcn,11,0.03125
gcn,12,-0.15625
gcn,13,0.34375
gcn,14,-0.0625
gcn,15,-0.0625
gcn,16,-0.15625
gcn,17,-0.1875
gcn,18,0.125
gcn,19,0.15625
gcn,20,0.0625
gcn,21,-0.21875
gcn,22,-0.125
gcn,23,-0.1875
gcn,24,-0.0625
gcn,25,0.03125
gcn,26,0.3125
gcn,27,0.0625
gcn,28,0.0
gcn,29,0.09375
gcn,30,0.375
gcn,31,0.03125
gcn,32,-0.125
gcn,33,0.0625
gcn,34,-0.03125
gcn,35,-0.09375
gcn,36,-0.25
gcn,37,0.125
gcn,38,0.09375
gcn,39,0.0625
gcn,40,0.125
gcn,41,0.0
gcn,42,0.0
gcn,43,0.15625
gcn,44,0.0625
gcn,45,-0.1875
gcn,46,0.03125
gcn,47,0.125
gcn,48,0.09375
gcn,49,0.03125
gcn,50,0.25
gcn,51,-0.0625
gcn,52,-0.1875
gcn,53,0.0
gcn,54,0.1875
gcn,55,0.21875
gcn,56,-0.125
gcn,57,0.21875
gcn,58,0.0625
gcn,59,-0.1875
gcn,60,-0.15625
gcn,61,-0.03125
gcn,62,-0.09375
gcn,63,0.28125
gcn,64,-0.03125
gcn,65,0.15625
gcn,66,0.0625
gcn,67,0.03125
gcn,68,0.1875
gcn,69,0.125
gcn,70,-0.125
gcn,71,0.0
gcn,72,0.4375
gcn,73,0.3125
gcn,74,0.03125
gcn,75,0.03125
gcn,76,-0.09375
gcn,77,0.0625
gcn,78,-0.0625
gcn,79,0.0
gcn,80,-0.09375
gcn,81,-0.09375
gcn,82,-0.09375
