heldout_source,kind,seed,addition_effect,all_layer_ablation_reduction
kriging,learned,-1,0.015625,0.03125
kriging,random,0,0.0,-0.0625
kriging,random,1,-0.015625,-0.03125
kriging,random,2,-0.0625,-0.0625
kriging,random,3,-0.109375,-0.031250014901161194
kriging,random,4,-0.0625,-0.0625
kriging,random,5,-0.03125,0.0
kriging,random,6,7.450580596923828e-09,0.0625
kriging,random,7,-0.078125,-0.125
kriging,random,8,-0.0468749925494194,-0.03125
kriging,random,9,-0.046875,-0.03125
kriging,random,10,-0.03125,-0.1562499850988388
kriging,random,11,-0.046875,-0.03125
kriging,random,12,7.450580596923828e-09,0.03125
kriging,random,13,-0.046875,-0.03125
kriging,random,14,0.0625,-0.03125
kriging,random,15,0.015625,0.0
kriging,random,16,-0.015624985098838806,-0.09375
kriging,random,17,0.015625007450580597,-0.0625
kriging,random,18,-0.015625,-0.0937500149011612
kriging,random,19,0.0,0.03125
resnet,learned,-1,0.1562500149011612,0.09374997019767761
resnet,random,0,0.0,0.06250002980232239
resnet,random,1,-0.0312499962747097,-0.031249985098838806
resnet,random,2,-0.0468749925494194,0.031249940395355225
resnet,random,3,-0.0625,-0.06250004470348358
resnet,random,4,0.015625007450580597,-0.062499985098838806
resnet,random,5,-0.0468749925494194,-0.06249995529651642
resnet,random,6,0.0312500074505806,0.0
resnet,random,7,-0.015625,0.031250014901161194
resnet,random,8,-0.078125,-0.03125002980232239
resnet,random,9,-0.015625007450580597,0.03125
resnet,random,10,0.015625,0.03125
resnet,random,11,-0.0781250074505806,0.031249985098838806
resnet,random,12,-0.015625007450580597,-0.03125
resnet,random,13,-0.015625007450580597,-0.03125
resnet,random,14,0.046875,0.0625
resnet,random,15,0.015625,-0.0625
resnet,random,16,0.03125,0.0
resnet,random,17,-0.0312500074505806,0.06249992549419403
resnet,random,18,-0.015625,-0.06250008940696716
resnet,random,19,-7.450580596923828e-09,-0.15625
transformer,learned,-1,0.15625,0.1250000298023224
transformer,random,0,0.0,0.0625
transformer,random,1,0.03125,0.0625
transformer,random,2,-0.031250014901161194,0.031249985098838806
transformer,random,3,1.4901161193847656e-08,0.0625
transformer,random,4,7.450580596923828e-09,0.09375
transformer,random,5,0.046875,0.031249970197677612
transformer,random,6,0.04687502235174179,0.09375
transformer,random,7,-0.03125,0.09375
transformer,random,8,0.0624999925494194,0.0625000149011612
transformer,random,9,1.4901161193847656e-08,0.1249999850988388
transformer,random,10,1.4901161193847656e-08,0.062499985098838806
transformer,random,11,-0.0625,0.0625
transformer,random,12,0.0,0.21875
transformer,random,13,0.046874985098838806,0.0625
transformer,random,14,0.0937500149011612,0.0625
transformer,random,15,0.03125,-1.4901161193847656e-08
transformer,random,16,7.450580596923828e-09,0.031249985098838806
transformer,random,17,7.450580596923828e-09,-0.031250014901161194
transformer,random,18,0.015624992549419403,-3.725290298461914e-08
transformer,random,19,0.046874985098838806,0.031249940395355225
unet,learned,-1,0.2812500074505806,0.0625000149011612
unet,random,0,0.0468750074505806,-0.06249997019767761
unet,random,1,-0.031249992549419403,1.4901161193847656e-08
unet,random,2,-0.046874985098838806,0.031250014901161194
unet,random,3,-0.0781249925494194,0.0625000149011612
unet,random,4,0.046875014901161194,0.1250000149011612
unet,random,5,-0.031249992549419403,0.0625000149011612
unet,random,6,0.0312500074505806,0.031250014901161194
unet,random,7,-0.046875,0.0625000149011612
unet,random,8,-0.031249985098838806,-0.031249985098838806
unet,random,9,-0.015624985098838806,0.0937500149011612
unet,random,10,-0.015624992549419403,-0.031249985098838806
unet,random,11,-0.031249992549419403,0.031250014901161194
unet,random,12,0.0468750074505806,0.031250014901161194
unet,random,13,-0.031249992549419403,-0.031249985098838806
unet,random,14,0.0625000074505806,1.4901161193847656e-08
unet,random,15,0.015625007450580597,-0.062499985098838806
unet,random,16,0.015625007450580597,1.4901161193847656e-08
unet,random,17,-0.015624992549419403,0.1875000149011612
unet,random,18,0.0468750074505806,0.031250014901161194
unet,random,19,-0.015624992549419403,0.0625000149011612
