source_id,condition,split,n_profiles,mean_technical_margin,standard_error
kriging,irrelevant_practitioner,test,3,-1.4791666741172473,0.6792433561098465
kriging,irrelevant_practitioner,train,4,1.750000007566996,0.8577161812280757
kriging,irrelevant_practitioner,validation,2,-1.2187500083819032,0.15625001955777407
kriging,irrelevant_researcher,test,3,-0.2708333196739356,0.6458333529011216
kriging,irrelevant_researcher,train,4,2.218749996391125,0.6210814389630749
kriging,irrelevant_researcher,validation,2,-0.49999998416751623,0.8749999916180968
kriging,relevant_practitioner,test,3,2.1041666734963655,0.3755782574303303
kriging,relevant_practitioner,train,4,2.265624988707714,0.7803640606374105
kriging,relevant_practitioner,validation,2,2.812499968102202,0.6249999476131052
kriging,relevant_researcher,test,3,2.3958333577029407,0.24562138532746078
kriging,relevant_researcher,train,4,3.140625038940925,0.41955380369731976
kriging,relevant_researcher,validation,2,2.687499948311597,0.437499996740371
resnet,irrelevant_practitioner,test,3,-0.0625000149011612,0.46069468316267215
resnet,irrelevant_practitioner,train,4,1.937499982304871,0.5382504487919983
resnet,irrelevant_practitioner,validation,2,0.8749999888241291,0.4999999888241291
resnet,irrelevant_researcher,test,3,0.6458333184321722,0.19873732503716662
resnet,irrelevant_researcher,train,4,2.2500000327127054,0.5134899133374182
resnet,irrelevant_researcher,validation,2,0.9687500074505806,0.7812500074505806
resnet,relevant_practitioner,test,3,1.7083333376795053,0.09081039287659713
resnet,relevant_practitioner,train,4,2.1249999629799277,0.5013003741123998
resnet,relevant_practitioner,validation,2,2.6249999087303877,0.5624999422580004
resnet,relevant_researcher,test,3,1.9375000058983762,0.10825314616844088
resnet,relevant_researcher,train,4,2.6250000096624717,0.3810279638881946
resnet,relevant_researcher,validation,2,2.812500019092113,0.37499996507540345
transformer,irrelevant_practitioner,test,3,-0.2708333233992259,0.3352807647875965
transformer,irrelevant_practitioner,train,4,1.4843749953433871,0.4218749961252382
transformer,irrelevant_practitioner,validation,2,0.3749999850988388,0.5624999850988388
transformer,irrelevant_researcher,test,3,0.22916666666666666,0.020833333333333336
transformer,irrelevant_researcher,train,4,1.5624999878928065,0.3844300399513234
transformer,irrelevant_researcher,validation,2,0.4062499850988388,0.5937499850988388
transformer,relevant_practitioner,test,3,2.000000004967054,0.23662118140300492
transformer,relevant_practitioner,train,4,1.7656250186264515,0.3492691539150413
transformer,relevant_practitioner,validation,2,2.031249975785613,0.15625002048909664
transformer,relevant_researcher,test,3,1.8749999919285376,0.2818281050764834
transformer,relevant_researcher,train,4,2.031250011175871,0.21725679330337513
transformer,relevant_researcher,validation,2,1.9062499832361937,0.15624995343387127
unet,irrelevant_practitioner,test,3,0.6250000099341074,0.46069470101979787
unet,irrelevant_practitioner,train,4,2.2968749465653673,0.44368761924951433
unet,irrelevant_practitioner,validation,2,1.1874999962747097,0.3124999813735485
unet,irrelevant_researcher,test,3,1.1249999863406022,0.32475952749456316
unet,irrelevant_researcher,train,4,2.71874996740371,0.4006017787320911
unet,irrelevant_researcher,validation,2,1.2812499720603228,0.5312499795109034
unet,relevant_practitioner,test,3,2.3749999438102045,0.15728821542776694
unet,relevant_practitioner,train,4,2.531249988474883,0.3503160911865918
unet,relevant_practitioner,validation,2,2.749999964842573,0.3749999685678631
unet,relevant_researcher,test,3,2.5833333334885538,0.11023963165423685
unet,relevant_researcher,train,4,3.0937499810243025,0.24540039123901242
unet,relevant_researcher,validation,2,2.906250018859282,0.2812500505242497
