heldout_source,layer,tail_position,direction_norm,validation_addition_effect,validation_ablation_reduction,selection_score
kriging,0,-5,0.1974584311246872,-0.09375,-0.45833333333333337,-0.45833333333333337
kriging,0,-4,0.08003949373960495,0.13541666666666666,0.0625,0.0625
kriging,0,-3,0.17018800973892212,-0.09375,-0.04166666666666674,-0.09375
kriging,0,-2,0.11511476337909698,0.17708333333333334,-0.02083333333333337,-0.02083333333333337
kriging,0,-1,0.09220460802316666,-0.010416666666666666,0.2499999999999999,-0.010416666666666666
kriging,1,-5,0.38046807050704956,0.020833333333333332,-0.16666666666666674,-0.16666666666666674
kriging,1,-4,0.0962439775466919,0.07291666666666667,0.10416666666666663,0.07291666666666667
kriging,1,-3,0.22593139111995697,-0.08333333333333333,-0.16666666666666674,-0.16666666666666674
kriging,1,-2,0.129411980509758,0.11458333333333333,0.10416666666666663,0.10416666666666663
kriging,1,-1,0.10527621954679489,0.08333333333333333,0.04166666666666663,0.04166666666666663
kriging,2,-5,0.40098071098327637,0.10416666666666667,-0.20833333333333337,-0.20833333333333337
kriging,2,-4,0.1280951201915741,0.09375,0.04166666666666663,0.04166666666666663
kriging,2,-3,0.2380925416946411,0.03125,-0.4166666666666667,-0.4166666666666667
kriging,2,-2,0.21546399593353271,0.07291666666666667,0.08333333333333326,0.07291666666666667
kriging,2,-1,0.1331792175769806,0.07291666666666667,-0.0625,-0.0625
kriging,3,-5,0.9215178489685059,0.09375,0.33333333333333337,0.09375
kriging,3,-4,0.17362432181835175,0.08333333333333333,-0.08333333333333337,-0.08333333333333337
kriging,3,-3,0.48250266909599304,0.09375,0.14583333333333326,0.09375
kriging,3,-2,0.447363018989563,0.28125,-0.1875,-0.1875
kriging,3,-1,0.5111013054847717,0.020833333333333332,-0.6875,-0.6875
kriging,4,-5,0.9466766715049744,-0.15625,-0.20833333333333337,-0.20833333333333337
kriging,4,-4,0.28883764147758484,0.0625,0.16666666666666663,0.0625
kriging,4,-3,0.5841605067253113,-0.07291666666666667,0.10416666666666663,-0.07291666666666667
kriging,4,-2,0.5132793188095093,0.3229166666666667,0.02083333333333326,0.02083333333333326
kriging,4,-1,0.5674926042556763,-0.010416666666666666,0.04166666666666663,-0.010416666666666666
kriging,5,-5,1.0927274227142334,0.020833333333333332,0.29166666666666663,0.020833333333333332
kriging,5,-4,0.48797616362571716,0.14583333333333334,0.14583333333333326,0.14583333333333326
kriging,5,-3,0.6445925235748291,-0.16666666666666666,-0.04166666666666674,-0.16666666666666666
kriging,5,-2,0.571986198425293,0.09375,-0.14583333333333337,-0.14583333333333337
kriging,5,-1,0.5885158181190491,0.0625,0.0625,0.0625
kriging,6,-5,1.0604301691055298,-0.07291666666666667,0.5416666666666666,-0.07291666666666667
kriging,6,-4,0.6257280707359314,0.2604166666666667,-0.0625,-0.0625
kriging,6,-3,0.7259196043014526,0.14583333333333334,0.14583333333333326,0.14583333333333326
