kind,seed,source_id,baseline_gap,ablated_gap,gap_reduction
learned,-1,resnet,3.3125000144355,2.93749996740371,0.37500004703179
learned,-1,transformer,3.0312499897554517,2.624999951571226,0.40625003818422556
random,0,resnet,3.3125000144355,3.343749977182597,-0.031249962747097015
random,0,transformer,3.0312499897554517,3.1250000363215804,-0.09375004656612873
random,1,resnet,3.3125000144355,3.3749999734573066,-0.06249995902180672
random,1,transformer,3.0312499897554517,3.031249980442226,9.313225746154785e-09
random,2,resnet,3.3125000144355,3.3749999525025487,-0.06249993806704879
random,2,transformer,3.0312499897554517,3.0937499795109034,-0.06249998975545168
random,3,resnet,3.3125000144355,3.343750032130629,-0.03125001769512892
random,3,transformer,3.0312499897554517,3.0937499925494194,-0.06250000279396772
random,4,resnet,3.3125000144355,3.3437499688006938,-0.031249954365193844
random,4,transformer,3.0312499897554517,3.062499978579581,-0.031249988824129105
random,5,resnet,3.3125000144355,3.312500058673322,-4.423782229423523e-08
random,5,transformer,3.0312499897554517,3.0937499748542905,-0.062499985098838806
random,6,resnet,3.3125000144355,3.374999975785613,-0.06249996135011315
random,6,transformer,3.0312499897554517,3.093749993480742,-0.0625000037252903
random,7,resnet,3.3125000144355,3.3437499892897904,-0.031249974854290485
random,7,transformer,3.0312499897554517,3.1250000651925802,-0.09375007543712854
random,8,resnet,3.3125000144355,3.2812499813735485,0.0312500330619514
random,8,transformer,3.0312499897554517,3.1249999506399035,-0.09374996088445187
random,9,resnet,3.3125000144355,3.3437500186264515,-0.031250004190951586
random,9,transformer,3.0312499897554517,3.093749971129,-0.06249998137354851
random,10,resnet,3.3125000144355,3.3124999827705324,3.166496753692627e-08
random,10,transformer,3.0312499897554517,3.1562500186264515,-0.1250000288709998
random,11,resnet,3.3125000144355,3.3124999990686774,1.5366822481155396e-08
random,11,transformer,3.0312499897554517,3.0625000204890966,-0.03125003073364496
random,12,resnet,3.3125000144355,3.2499999813735485,0.0625000330619514
random,12,transformer,3.0312499897554517,3.1249999683350325,-0.09374997857958078
random,13,resnet,3.3125000144355,3.2812499650754035,0.031250049360096455
random,13,transformer,3.0312499897554517,3.093750052154064,-0.0625000623986125
random,14,resnet,3.3125000144355,3.312500026077032,-1.1641532182693481e-08
random,14,transformer,3.0312499897554517,3.031250039115548,-4.936009645462036e-08
random,15,resnet,3.3125000144355,3.3124999990686774,1.5366822481155396e-08
random,15,transformer,3.0312499897554517,3.0624999795109034,-0.03124998975545168
random,16,resnet,3.3125000144355,3.3437500055879354,-0.03124999115243554
random,16,transformer,3.0312499897554517,3.062500014901161,-0.031250025145709515
random,17,resnet,3.3125000144355,3.3125000093132257,5.122274160385132e-09
random,17,transformer,3.0312499897554517,3.093749978579581,-0.062499988824129105
random,18,resnet,3.3125000144355,3.4062499813735485,-0.0937499669380486
random,18,transformer,3.0312499897554517,3.0312500009313226,-1.1175870895385742e-08
random,19,resnet,3.3125000144355,3.4062499897554517,-0.09374997531995177
random,19,transformer,3.0312499897554517,3.093749951571226,-0.06249996181577444
