kind,seed,source_id,mean_slope
learned,-1,resnet,1.9999999507309951
learned,-1,transformer,1.8125000209324753
random,0,resnet,0.06250007865992302
random,0,transformer,0.09375000951877155
random,1,resnet,-0.09374997373379301
random,1,transformer,-0.3593750064737833
random,2,resnet,-0.15624998513158062
random,2,transformer,-0.17187495022244548
random,3,resnet,-0.031249997029590304
random,3,transformer,-0.0937499672645572
random,4,resnet,0.4531250041691237
random,4,transformer,0.5781249562469384
random,5,resnet,-0.09375001889566192
random,5,transformer,0.12500001342141331
random,6,resnet,0.7499999447345544
random,6,transformer,0.5468749900192051
random,7,resnet,0.3906249515202944
random,7,transformer,0.25000000866384653
random,8,resnet,0.29687504037974577
random,8,transformer,0.6093749882220436
random,9,resnet,-0.14062502545971256
random,9,transformer,-0.2343750250629455
random,10,resnet,-0.1718750504342097
random,10,transformer,-0.17187498040857463
random,11,resnet,0.04687499710780685
random,11,transformer,0.015624991207005223
random,12,resnet,0.14062504636149242
random,12,transformer,0.2031249916763045
random,13,resnet,0.43749994969994077
random,13,transformer,0.2812499776873665
random,14,resnet,0.2499999623612439
random,14,transformer,0.2812500319823812
random,15,resnet,-0.3437499770375325
random,15,transformer,-0.29687497247050487
random,16,resnet,0.48437502086994755
random,16,transformer,0.4218749980818757
random,17,resnet,-0.24999996224573806
random,17,transformer,-0.2187499772726369
random,18,resnet,0.18749998965813575
random,18,transformer,0.0937499602432581
random,19,resnet,0.24999991692504864
random,19,transformer,0.359374971725515
