source,selected_layer,selected_position,baseline_gap,addition_effect,single_layer_ablation_reduction,all_layer_ablation_reduction,random_additions_ge_learned,random_additions_n
bert,17,-1,0.03125,0.125,0.09375,-7.450580596923828e-09,0,100
ddpm,21,-1,0.0,0.1562500298023224,0.09375,0.3125,0,100
gcn,17,-1,0.1875,0.25,0.21875,0.15625,0,100
kriging,18,-1,0.40625,0.109375,-0.03125,0.125,0,100
resnet,17,-1,-0.1875,0.15625,0.0625,0.062499985098838806,0,100
transformer,18,-1,0.3125,0.171875,-0.031250014901161194,0.15624995529651642,0,100
unet,17,-1,-0.062499985098838806,0.234375,0.0937500149011612,0.1250000149011612,0,100
xgboost,17,-1,0.3125,0.2812499925494194,0.125,0.09375,0,100
