encoding,n_domains,mean_addition_effect,standard_error_across_domains,positive_domains,exact_domain_sign_flip_p,minimum_leave_one_domain_out_mean,maximum_leave_one_domain_out_mean
A/B,8,0.18554687779396772,0.021985826856895766,8,0.00390625,0.17187500425747462,0.1964285746216774
X/Y,8,0.2031249962747097,0.04238133395529471,8,0.00390625,0.17187499574252538,0.22098213966403688
1/2,8,0.23046875,0.02812964828738365,8,0.00390625,0.2165178582072258,0.24776785607848847
