source_id,coarse_ml_cue,coarse_se,exact_domain,exact_se,generation_terms,generation_se
resnet,0.9027777623603268,0.257296111830825,-0.23437505987635632,0.20517514206419224,-0.375,0.46049274850812955
transformer,2.854166596001284,0.8904270009860537,-0.8281250072054718,0.441902226474448,1.25,0.3659625273556999
unet,2.8541666284473055,0.7494210651882015,-0.26562508245641325,0.23556252354062684,-0.375,0.18298126367784995
kriging,5.236110978603495,1.2001237491869567,0.7343749759329512,0.2697939131870205,0.0,0.26726124191242434
