model,source,selected_layer,selected_tail_position,causal_selected_decoding_accuracy,permutation_selected_layer,permutation_selected_tail_position,permutation_pipeline_test_accuracy,exact_permutation_p,addition_effect,single_layer_ablation_fraction,all_layer_ablation_fraction,wikitext_nll_increase_all_layer,wikitext_kl_all_layer,wikitext_top1_agreement_all_layer
Qwen2.5-3B,resnet,26,-1,0.75,26,-1,0.75,0.3,2.6875,0.36633663366336633,0.9207920792079208,0.12528303557751252,0.11283621601029939,0.8382352941176471
Qwen2.5-3B,transformer,26,-1,0.75,26,-1,0.75,0.17142857142857143,1.9375,0.29357798165137616,0.7339449541284404,0.12528303557751252,0.11283621601029939,0.8382352941176471
Qwen3.5-4B,resnet,18,-5,1.0,31,-5,0.875,0.24285714285714285,1.4687500037252903,0.2169811320754717,0.6415094339622641,0.013086565803078987,0.014848715768140905,0.9377450980392157
Qwen3.5-4B,transformer,18,-5,0.875,31,-5,1.0,0.1,1.4531249925494194,0.20408162878037292,0.6530612179360157,0.013086565803078987,0.014848715768140905,0.9377450980392157
