layer,validation_accuracy,test_accuracy,validation_causal_effect,direction_norm
0,0.625,0.5,nan,0.06064705178141594
1,0.5,0.5,nan,0.07120303064584732
2,0.625,0.5,nan,0.08958696573972702
3,0.625,0.5,nan,0.13512751460075378
4,0.75,0.5,nan,0.1664402186870575
5,0.625,0.375,nan,0.21866191923618317
6,0.75,0.375,nan,0.25654953718185425
7,0.75,0.25,nan,0.2843894958496094
8,0.75,0.25,nan,0.37886151671409607
9,0.875,0.375,nan,0.3898599445819855
10,0.875,0.25,nan,0.37369123101234436
11,0.875,0.375,nan,0.41194820404052734
12,0.75,0.25,nan,0.3890809118747711
13,0.75,0.375,nan,0.42373865842819214
14,0.75,0.25,nan,0.42109784483909607
15,0.875,0.25,nan,0.42156922817230225
16,0.75,0.25,nan,0.4486856758594513
17,0.75,0.25,nan,0.46871358156204224
18,0.875,0.25,nan,0.5919914841651917
19,0.875,0.25,nan,0.580757200717926
20,0.875,0.5,nan,0.6530555486679077
21,1.0,0.5,0.06250001860462362,0.8186787962913513
22,1.0,0.5,0.09374996710539563,1.0476415157318115
23,1.0,0.5,0.09375004456887837,1.3430495262145996
24,1.0,0.75,0.6562499713818397,4.376000881195068
25,0.875,0.625,nan,5.137628555297852
26,1.0,0.75,2.7187500766722223,7.924823760986328
27,0.75,0.875,nan,9.589864730834961
28,0.625,0.875,nan,10.328499794006348
29,0.625,0.875,nan,10.654955863952637
30,0.625,0.75,nan,12.119156837463379
31,0.75,0.875,nan,14.308226585388184
32,0.5,0.625,nan,16.482379913330078
33,0.5,0.625,nan,16.57672882080078
34,0.5,0.625,nan,17.85286521911621
35,0.5,0.75,nan,18.721363067626953
