test_set,kind,seed,aggregate_gap
stimuli_prospective_synthetic,random,46,-0.005338875576853752
stimuli_prospective_synthetic,permuted_labels,46,-0.061612783931195736
stimuli_prospective_synthetic,random,47,0.007031543180346489
stimuli_prospective_synthetic,permuted_labels,47,0.1254812586121261
stimuli_prospective_synthetic,random,48,0.01919465884566307
stimuli_prospective_synthetic,permuted_labels,48,0.19145569019019604
stimuli_prospective_synthetic,random,49,-0.014612311962991953
stimuli_prospective_synthetic,permuted_labels,49,0.0935839181765914
stimuli_prospective_synthetic,random,50,-0.006773012690246105
stimuli_prospective_synthetic,permuted_labels,50,-0.07892832532525063
stimuli_prospective_synthetic,random,51,-0.008633740246295929
stimuli_prospective_synthetic,permuted_labels,51,-0.08789410814642906
stimuli_prospective_synthetic,random,52,-0.0205781536642462
stimuli_prospective_synthetic,permuted_labels,52,0.20083355205133557
stimuli_prospective_synthetic,random,53,-0.007113260682672262
stimuli_prospective_synthetic,permuted_labels,53,-0.077949577011168
stimuli_prospective_synthetic,random,54,0.017093095928430557
stimuli_prospective_synthetic,permuted_labels,54,-0.14200844895094633
stimuli_prospective_synthetic,random,55,0.015584687236696482
stimuli_prospective_synthetic,permuted_labels,55,0.026917424984276295
stimuli_prospective_synthetic,random,56,-0.014279361348599195
stimuli_prospective_synthetic,permuted_labels,56,-0.16235517570748925
stimuli_prospective_synthetic,random,57,0.0050882690120488405
stimuli_prospective_synthetic,permuted_labels,57,-0.005578699521720409
stimuli_prospective_synthetic,random,58,-0.013339543715119362
stimuli_prospective_synthetic,permuted_labels,58,-0.055194370448589325
stimuli_prospective_synthetic,random,59,-0.015437636990100145
stimuli_prospective_synthetic,permuted_labels,59,-0.09965679794549942
stimuli_prospective_synthetic,random,60,0.007076648063957691
stimuli_prospective_synthetic,permuted_labels,60,0.020376484841108322
stimuli_prospective_synthetic,random,61,0.004576435312628746
stimuli_prospective_synthetic,permuted_labels,61,-0.12870957981795073
stimuli_prospective_synthetic,random,62,-0.002255452796816826
stimuli_prospective_synthetic,permuted_labels,62,-0.11940590804442763
stimuli_prospective_synthetic,random,63,0.004730873974040151
stimuli_prospective_synthetic,permuted_labels,63,0.028526505455374718
stimuli_prospective_synthetic,random,64,0.009583426639437675
stimuli_prospective_synthetic,permuted_labels,64,0.13442297326400876
stimuli_prospective_synthetic,random,65,0.010325303301215172
stimuli_prospective_synthetic,permuted_labels,65,-0.07003225851804018
stimuli_prospective_synthetic,random,66,-0.007367626531049609
stimuli_prospective_synthetic,permuted_labels,66,-0.02354319766163826
stimuli_prospective_synthetic,random,67,0.004380311002023518
stimuli_prospective_synthetic,permuted_labels,67,-0.04620524123311043
stimuli_prospective_synthetic,random,68,-0.0028361761942505836
stimuli_prospective_synthetic,permuted_labels,68,0.13330496102571487
stimuli_prospective_synthetic,random,69,0.006064792163670063
stimuli_prospective_synthetic,permuted_labels,69,0.04619407141581178
stimuli_prospective_synthetic,random,70,-0.009475131519138813
stimuli_prospective_synthetic,permuted_labels,70,-0.10257696197368205
stimuli_prospective_synthetic,random,71,-0.004939505830407143
stimuli_prospective_synthetic,permuted_labels,71,-0.17145436583086848
stimuli_prospective_synthetic,random,72,0.005727682262659073
stimuli_prospective_synthetic,permuted_labels,72,-0.03804566711187363
stimuli_prospective_synthetic,random,73,0.00890394952148199
stimuli_prospective_synthetic,permuted_labels,73,-0.1467207670211792
stimuli_prospective_synthetic,random,74,0.010404290165752172
stimuli_prospective_synthetic,permuted_labels,74,-0.016794653609395027
stimuli_prospective_synthetic,random,75,-0.0009407121688127518
stimuli_prospective_synthetic,permuted_labels,75,0.10110468114726245
stimuli_prospective_synthetic,random,76,-0.009219052270054817
stimuli_prospective_synthetic,permuted_labels,76,-0.029598495457321405
stimuli_prospective_synthetic,random,77,0.0027821583207696676
stimuli_prospective_synthetic,permuted_labels,77,-0.1894750827923417
stimuli_prospective_synthetic,random,78,0.004596184939146042
stimuli_prospective_synthetic,permuted_labels,78,-0.09021012112498283
stimuli_prospective_synthetic,random,79,-0.00476142019033432
stimuli_prospective_synthetic,permuted_labels,79,-0.11937952204607427
stimuli_prospective_synthetic,random,80,0.004893530160188675
stimuli_prospective_synthetic,permuted_labels,80,0.20131774712353945
stimuli_prospective_synthetic,random,81,-0.0028027715161442757
stimuli_prospective_synthetic,permuted_labels,81,-0.05745372921228409
stimuli_prospective_synthetic,random,82,-0.0011000672820955515
stimuli_prospective_synthetic,permuted_labels,82,-0.19465192407369614
stimuli_prospective_synthetic,random,83,0.00271623395383358
stimuli_prospective_synthetic,permuted_labels,83,-0.0021971864625811577
stimuli_prospective_synthetic,random,84,-0.012832306325435638
stimuli_prospective_synthetic,permuted_labels,84,-0.1497916232328862
stimuli_prospective_synthetic,random,85,-0.0018418710678815842
stimuli_prospective_synthetic,permuted_labels,85,-0.1380922021344304
stimuli_prospective_synthetic,random,86,-0.00975752342492342
stimuli_prospective_synthetic,permuted_labels,86,0.1337753850966692
stimuli_prospective_synthetic,random,87,-0.0027562800678424537
stimuli_prospective_synthetic,permuted_labels,87,-0.024038776755332947
stimuli_prospective_synthetic,random,88,-0.007084345910698175
stimuli_prospective_synthetic,permuted_labels,88,0.08872599992901087
stimuli_prospective_synthetic,random,89,0.002426152816042304
stimuli_prospective_synthetic,permuted_labels,89,0.06416954845190048
stimuli_prospective_synthetic,random,90,-0.010195816634222865
stimuli_prospective_synthetic,permuted_labels,90,-0.0732451407238841
stimuli_prospective_synthetic,random,91,0.0003410112112760544
stimuli_prospective_synthetic,permuted_labels,91,-0.13846179330721498
stimuli_prospective_synthetic,random,92,-0.010835733148269355
stimuli_prospective_synthetic,permuted_labels,92,0.24308394733816385
stimuli_prospective_synthetic,random,93,0.011517195962369442
stimuli_prospective_synthetic,permuted_labels,93,-0.026336446404457092
stimuli_prospective_synthetic,random,94,0.008068676106631756
stimuli_prospective_synthetic,permuted_labels,94,-0.07988784089684486
stimuli_prospective_synthetic,random,95,0.006002969108521938
stimuli_prospective_synthetic,permuted_labels,95,-0.056241706013679504
stimuli_prospective_synthetic,random,96,0.0003638770431280136
stimuli_prospective_synthetic,permuted_labels,96,-0.20307643013074994
stimuli_prospective_synthetic,random,97,-0.002579435706138611
