encoding,source_id,baseline_gap,addition_effect,all_layer_ablation_gap,all_layer_ablation_reduction
A/B,resnet,3.3125,1.4687500037252903,1.1875,2.125
A/B,transformer,3.062499985098839,1.4531249925494194,1.0625000149011612,1.9999999701976776
X/Y,resnet,4.843750014901161,1.5000000074505806,1.75,3.093750014901161
X/Y,transformer,4.343749985098839,1.3437499925494194,1.5,2.843749985098839
1/2,resnet,4.71875,1.609375,1.71875,3.0
1/2,transformer,4.15625,1.4531249962747097,1.6875,2.46875
