heldout_source,kind,seed,addition_effect,all_layer_ablation_reduction
transformer,random,4,0.1875,-0.0625
transformer,random,5,0.25,0.1875
transformer,random,6,0.03125,-0.125
transformer,random,7,0.03125,0.125
transformer,random,8,-0.15625,0.375
transformer,random,9,0.25,0.4375
transformer,random,10,0.0625,0.0625
transformer,random,11,-0.0625,0.3125
transformer,random,12,0.03125,0.5625
transformer,random,13,-0.09375,0.5625
transformer,random,14,0.1875,-0.375
transformer,random,15,-0.03125,0.1875
transformer,random,16,-0.34375,-0.0625
transformer,random,17,0.09375,0.125
transformer,random,18,0.40625,0.0
transformer,random,19,0.21875,0.0625
unet,learned,-1,0.3125,-0.0625
unet,random,0,-0.125,0.125
unet,random,1,0.09375,0.125
unet,random,2,-0.0625,0.375
unet,random,3,0.15625,0.4375
unet,random,4,-0.0625,-0.3125
unet,random,5,0.0625,0.0
unet,random,6,0.0625,-0.4375
unet,random,7,0.15625,0.375
unet,random,8,0.03125,-0.0625
unet,random,9,-0.40625,-0.0625
unet,random,10,-0.1875,0.5
unet,random,11,-0.125,0.4375
unet,random,12,-0.4375,0.0
unet,random,13,0.34375,0.4375
unet,random,14,-0.03125,-0.0625
unet,random,15,0.125,0.0625
unet,random,16,-0.09375,0.3125
unet,random,17,-0.15625,-0.25
unet,random,18,0.03125,-0.25
unet,random,19,-0.0625,0.375
xgboost,learned,-1,0.15625,-2.0
xgboost,random,0,-0.3125,-0.375
xgboost,random,1,-0.03125,-0.375
xgboost,random,2,-0.125,-0.5625
xgboost,random,3,-0.375,-0.75
xgboost,random,4,0.25,-0.125
xgboost,random,5,-0.125,-0.0625
xgboost,random,6,-0.03125,0.125
xgboost,random,7,0.34375,-0.0625
xgboost,random,8,-0.0625,-0.125
xgboost,random,9,-0.28125,-0.1875
xgboost,random,10,-0.46875,-0.6875
xgboost,random,11,0.125,-0.0625
xgboost,random,12,-0.625,-0.5625
xgboost,random,13,0.09375,-0.5625
xgboost,random,14,0.0625,-0.1875
xgboost,random,15,-0.125,-0.25
xgboost,random,16,-0.0625,-0.5
xgboost,random,17,-0.15625,-1.4375
xgboost,random,18,-0.15625,-0.5
xgboost,random,19,0.0,-0.6875
