heldout_source,kind,seed,addition_effect,all_layer_ablation_reduction
bert,learned,-1,0.25,-0.1875
bert,random,0,0.125,-0.875
bert,random,1,-0.125,0.0625
bert,random,2,-0.4375,-0.5
bert,random,3,0.34375,-0.375
bert,random,4,-0.25,0.25
bert,random,5,0.21875,-0.125
bert,random,6,-0.125,-0.6875
bert,random,7,-0.21875,0.375
bert,random,8,0.5,-0.6875
bert,random,9,-0.03125,-0.25
bert,random,10,0.3125,-0.0625
bert,random,11,0.0625,0.25
bert,random,12,-0.34375,0.4375
bert,random,13,0.59375,0.875
bert,random,14,-0.59375,0.125
bert,random,15,-0.09375,0.0
bert,random,16,0.1875,0.5
bert,random,17,0.21875,0.0625
bert,random,18,-0.21875,-1.5
bert,random,19,-0.1875,0.0
ddpm,learned,-1,0.34375,-0.125
ddpm,random,0,0.125,0.5
ddpm,random,1,-0.1875,0.3125
ddpm,random,2,0.0625,0.1875
ddpm,random,3,0.15625,0.0625
ddpm,random,4,0.125,0.0625
ddpm,random,5,-0.03125,0.0625
ddpm,random,6,0.15625,-0.4375
ddpm,random,7,0.15625,0.5
ddpm,random,8,-0.03125,-0.25
ddpm,random,9,-0.03125,0.0625
ddpm,random,10,-0.03125,0.25
ddpm,random,11,-0.0625,0.4375
ddpm,random,12,-0.125,0.0
ddpm,random,13,-0.125,0.1875
ddpm,random,14,0.25,0.0625
ddpm,random,15,-0.03125,0.1875
ddpm,random,16,-0.4375,0.0625
ddpm,random,17,-0.0625,0.75
ddpm,random,18,0.03125,-0.25
ddpm,random,19,0.125,-0.1875
gcn,learned,-1,0.125,-0.1875
gcn,random,0,0.15625,0.1875
gcn,random,1,0.09375,0.1875
gcn,random,2,0.21875,0.5625
gcn,random,3,-0.09375,0.125
gcn,random,4,0.125,0.0
gcn,random,5,-0.09375,-0.1875
gcn,random,6,0.1875,-0.1875
gcn,random,7,-0.03125,-0.3125
gcn,random,8,0.09375,-0.3125
gcn,random,9,0.0625,-0.4375
gcn,random,10,0.15625,-0.125
gcn,random,11,0.03125,-0.4375
gcn,random,12,-0.15625,0.25
gcn,random,13,0.34375,0.5
gcn,random,14,-0.0625,-0.3125
gcn,random,15,-0.0625,-0.25
gcn,random,16,-0.15625,-0.0625
gcn,random,17,-0.1875,0.375
gcn,random,18,0.125,-0.375
gcn,random,19,0.15625,0.375
kriging,learned,-1,0.15625,0.5625
kriging,random,0,0.25,0.5
kriging,random,1,0.09375,0.0625
kriging,random,2,0.34375,0.3125
kriging,random,3,-0.125,-0.125
kriging,random,4,-0.0625,0.0
kriging,random,5,0.0625,0.125
kriging,random,6,-0.1875,0.125
kriging,random,7,-0.09375,-0.4375
kriging,random,8,-0.09375,0.0625
kriging,random,9,0.15625,0.5
kriging,random,10,0.15625,0.5625
kriging,random,11,0.25,0.5
kriging,random,12,-0.21875,0.125
kriging,random,13,-0.3125,0.1875
kriging,random,14,-0.21875,0.375
kriging,random,15,-0.03125,0.125
kriging,random,16,-0.21875,0.375
kriging,random,17,0.40625,-0.0625
kriging,random,18,0.0,-0.1875
kriging,random,19,0.125,0.25
resnet,learned,-1,0.09375,-0.3125
resnet,random,0,0.25,0.3125
resnet,random,1,0.21875,0.3125
resnet,random,2,0.125,0.375
resnet,random,3,0.0625,0.25
resnet,random,4,0.21875,0.125
resnet,random,5,0.1875,0.1875
resnet,random,6,-0.03125,0.5
resnet,random,7,0.15625,-0.1875
resnet,random,8,0.0,0.25
resnet,random,9,0.09375,0.125
resnet,random,10,0.1875,0.4375
resnet,random,11,0.28125,0.375
resnet,random,12,0.0625,0.0625
resnet,random,13,0.375,0.3125
resnet,random,14,0.0625,0.6875
resnet,random,15,0.09375,0.3125
resnet,random,16,0.125,0.3125
resnet,random,17,0.1875,-0.25
resnet,random,18,0.375,0.3125
resnet,random,19,0.15625,0.0625
transformer,learned,-1,0.125,0.375
transformer,random,0,-0.0625,0.375
transformer,random,1,0.09375,0.125
transformer,random,2,0.03125,0.3125
transformer,random,3,0.25,0.4375
