metric,condition,contrast_mean,contrast_se,contrast_positive_domains,contrast_exact_one_sided_p,slope_mean,slope_se,slope_positive_domains,slope_exact_one_sided_p
term_coverage,pooled,0.010714285714285732,0.007142857142857141,3,0.25,0.0037351190476190513,0.002820676574990999,3,0.1875
term_coverage,domain_expert,0.03184523809523811,0.015773809523809527,3,0.125,0.008511904761904764,0.0043452380952380965,3,0.125
term_coverage,matched_other_expert,-0.010416666666666671,0.010416666666666673,0,1.0,-0.0010416666666666667,0.0021578920306338355,1,0.75
word_count,pooled,-3.0625,1.6954179320408624,2,0.9609375,-0.728125,0.5048743987192684,2,0.9296875
word_count,domain_expert,-3.1875,2.0198512586680377,2,0.9296875,-0.975,0.5761634192781468,2,0.9296875
word_count,matched_other_expert,-2.9375,2.7164142265125912,4,0.84375,-0.48124999999999996,0.7643821910069407,5,0.66015625
