source_id,condition,split,n_profiles,mean_technical_margin,standard_error
kriging,irrelevant_practitioner,test,3,-9.833333190869544,1.293681180830313
kriging,irrelevant_practitioner,train,4,-3.3749999680740075,1.6496527148313664
kriging,irrelevant_practitioner,validation,2,-7.437500047341018,0.937500108495442
kriging,irrelevant_researcher,test,3,-7.7916665679648345,0.5120085193182591
kriging,irrelevant_researcher,train,4,-2.531250003085063,2.1568537903788756
kriging,irrelevant_researcher,validation,2,-7.12499980497887,0.8750000457221176
kriging,relevant_practitioner,test,3,-3.2916668181618056,1.0240171637447562
kriging,relevant_practitioner,train,4,-2.4062500861255103,1.7797873882297959
kriging,relevant_practitioner,validation,2,1.4999999243882485,0.49999998905695975
kriging,relevant_researcher,test,3,-0.5416667219894103,1.433115314029503
kriging,relevant_researcher,train,4,0.6250000383479346,1.1913315421698765
kriging,relevant_researcher,validation,2,2.1249998559355845,1.4999999402202775
resnet,irrelevant_practitioner,test,3,0.20833331557029547,1.2444320529198656
resnet,irrelevant_practitioner,train,4,2.250000003405148,0.4649148797405261
resnet,irrelevant_practitioner,validation,2,2.312499934254447,0.3125000208092388
resnet,irrelevant_researcher,test,3,1.6250000273236462,1.1456439854164686
resnet,irrelevant_researcher,train,4,3.5625000105483196,0.7043392664287711
resnet,irrelevant_researcher,validation,2,2.4375000037252903,0.06250003958120942
resnet,relevant_practitioner,test,3,1.4583334500178655,1.5517686645566482
resnet,relevant_practitioner,train,4,3.1249999930405465,0.7551903998577614
resnet,relevant_practitioner,validation,2,3.749999968444172,0.37500004412868293
resnet,relevant_researcher,test,3,2.2083332881811657,1.1755612675315394
resnet,relevant_researcher,train,4,3.812499976862,0.4254287343768496
resnet,relevant_researcher,validation,2,4.124999825922714,0.9999999990686774
transformer,irrelevant_practitioner,test,3,2.958333285447831,1.9125862597658652
transformer,irrelevant_practitioner,train,4,6.7499998896458635,2.08603981906841
transformer,irrelevant_practitioner,validation,2,5.56249994783866,1.6874999629726517
transformer,irrelevant_researcher,test,3,4.250000064610504,1.0777097611354693
transformer,irrelevant_researcher,train,4,7.093749991638674,1.995029621873103
transformer,irrelevant_researcher,validation,2,6.687499994448444,0.9374999323408701
transformer,relevant_practitioner,test,3,7.99999999454,0.19094062909996368
transformer,relevant_practitioner,train,4,7.531249855324177,1.3271748310664204
transformer,relevant_practitioner,validation,2,10.374999859963282,0.37499996208771336
transformer,relevant_researcher,test,3,7.374999950302784,1.2140667268366248
transformer,relevant_researcher,train,4,8.999999801833724,0.9642029478934155
transformer,relevant_researcher,validation,2,9.93750000241198,0.18750011762676877
unet,irrelevant_practitioner,test,3,3.0416665438507757,2.6342429448142783
unet,irrelevant_practitioner,train,4,7.906250066727665,1.1369447038961709
unet,irrelevant_practitioner,validation,2,4.000000048606353,1.000000130249873
unet,irrelevant_researcher,test,3,4.500000033709512,2.1517919966744845
unet,irrelevant_researcher,train,4,8.281249842330425,0.9965762153559167
unet,irrelevant_researcher,validation,2,6.812500001910394,0.18750022535778044
unet,relevant_practitioner,test,3,5.958333163346121,2.003035988108551
unet,relevant_practitioner,train,4,8.874999896671994,1.0013012708512536
unet,relevant_practitioner,validation,2,10.687499963679898,0.437499976920094
unet,relevant_researcher,test,3,7.4166666184748165,1.7340543150032546
unet,relevant_researcher,train,4,10.21874996150305,0.36577187999135463
unet,relevant_researcher,validation,2,11.250000038237715,0.874999902176512
