encoding,condition,mean_slope,standard_error,positive_domains,exact_one_sided_p
A/B,domain_expert,0.17890625149011613,0.013872099971466283,8,0.00390625
A/B,matched_other_expert,0.1363281243480742,0.02034627557036053,8,0.00390625
X/Y,domain_expert,0.1988281236961484,0.017478637447044858,8,0.00390625
X/Y,matched_other_expert,0.14218749813735485,0.024634606554951373,8,0.00390625
1/2,domain_expert,0.21640625055879356,0.02372406632381856,8,0.00390625
1/2,matched_other_expert,0.1546874985098839,0.028427195634116297,8,0.00390625
